ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
SDRL,45.41,8.1%,2.1%,1.6%,4.2%,14.0%,3.7%,Energy,Oil & Gas Drilling,Mid,False,False
COMT,33.88,7.6%,4.7%,2.4%,0.4%,2.4%,20.4%,Financial,Exchange Traded Fund,Small,True,False
PTGX,98.97,7.5%,0.3%,7.0%,0.1%,12.6%,14.5%,Healthcare,Biotechnology,Mid,False,False
GSG,32.05,7.5%,4.4%,1.9%,1.0%,1.9%,24.2%,Financial,Exchange Traded Fund,Small,True,False
AGIO,29.43,7.1%,1.4%,0.0%,5.6%,10.2%,11.9%,Healthcare,Biotechnology,Mid,False,False
DCMT,33.49,6.9%,4.9%,1.6%,0.2%,2.0%,15.3%,Financial,Exchange Traded Fund,Small,True,False
CRSH,26.69,6.8%,2.1%,4.0%,0.6%,6.7%,8.1%,Financial,Exchange Traded Fund,Small,True,False
NVRI,18.83,6.7%,1.1%,1.3%,4.1%,0.1%,3.6%,Industrials,Waste Management,Small,False,False
VSAT,46.58,6.4%,5.4%,0.5%,0.4%,1.4%,0.0%,Technology,Communication Equipment,Mid,False,False
PDBC,17.4,6.2%,4.6%,1.2%,0.4%,2.8%,16.1%,Financial,Exchange Traded Fund,Small,True,False
SCLS,24.2,5.9%,4.3%,1.1%,0.3%,10.1%,16.3%,Financial,Exchange Traded Fund,Small,True,False
USOI,56.77,5.9%,1.8%,1.0%,3.0%,2.9%,14.0%,Financial,Exchange Traded Fund,Small,True,False
USCI,95.78,5.9%,2.2%,3.2%,0.4%,1.0%,11.6%,Financial,Exchange Traded Fund,Small,True,False
DBC,29.1,5.8%,4.4%,0.8%,0.6%,2.7%,15.3%,Financial,Exchange Traded Fund,Small,True,False
PIT,72.01,5.8%,3.9%,1.4%,0.4%,3.6%,18.5%,Financial,Exchange Traded Fund,Small,True,False
SDCI,27.31,5.8%,2.3%,2.7%,0.7%,1.8%,11.6%,Financial,Exchange Traded Fund,Small,True,False
DSGN,10.53,4.8%,0.7%,1.9%,2.1%,2.3%,1.9%,Healthcare,Biotechnology,Small,False,False
DMLP,28.05,4.4%,0.3%,2.2%,1.7%,2.3%,7.5%,Energy,Oil & Gas E&P,Small,False,False
CRAK,48.77,4.2%,0.1%,1.9%,2.1%,7.0%,10.1%,Financial,Exchange Traded Fund,Small,True,False
UI,779.92,4.1%,1.4%,0.7%,1.9%,39.1%,3.2%,Technology,Communication Equipment,Large,False,False
UCIB,33.09,4.1%,3.0%,0.3%,0.8%,1.9%,8.9%,Financial,Exchange Traded Fund,Small,True,False
EME,732.89,3.8%,0.6%,2.1%,1.1%,0.6%,1.9%,Industrials,Engineering & Construction,Large,False,False
RRBI,89.9,3.8%,0.2%,0.5%,3.1%,6.8%,2.0%,Financial,Banks - Regional,Small,False,False
ATLO,27.61,3.6%,0.0%,0.2%,3.4%,3.5%,5.4%,Financial,Banks - Regional,Small,False,True
CMCI,28.0,3.6%,2.6%,0.6%,0.4%,1.6%,8.6%,Financial,Exchange Traded Fund,Small,True,False
FFUT,57.53,3.5%,1.4%,1.2%,0.8%,1.3%,2.3%,Financial,Exchange Traded Fund,Small,True,False
XTL,186.63,2.7%,1.2%,0.5%,1.0%,11.1%,2.2%,Financial,Exchange Traded Fund,Small,True,False
KMLM,28.07,2.1%,1.5%,0.3%,0.4%,4.2%,4.2%,Financial,Exchange Traded Fund,Small,True,False
