ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
JLHL,19.0,199.2%,53.2%,17.7%,65.9%,4.6%,96.5%,Industrials,Building Products & Equipment,Small,False,True
BAND,49.89,116.8%,4.8%,86.0%,11.2%,20.2%,106.6%,Technology,Software - Infrastructure,Small,False,False
HIMX,17.79,60.3%,8.9%,1.8%,44.5%,8.1%,49.3%,Technology,Semiconductors,Mid,False,True
DDOG,200.16,58.1%,2.3%,8.5%,42.4%,5.4%,12.0%,Technology,Software - Application,Large,False,False
SILC,44.87,56.3%,6.5%,38.1%,6.3%,7.1%,83.6%,Technology,Communication Equipment,Small,False,False
CRWL,32.86,51.0%,11.2%,2.6%,32.4%,6.4%,25.2%,Financial,Exchange Traded Fund,Small,True,False
PANG,12.57,50.4%,12.4%,2.4%,30.7%,13.1%,21.8%,Financial,Exchange Traded Fund,Small,True,False
PALU,20.34,50.0%,12.3%,2.4%,30.5%,12.5%,22.4%,Financial,Exchange Traded Fund,Small,True,False
ASPN,5.04,44.8%,0.6%,22.0%,18.0%,9.6%,8.5%,Industrials,Building Products & Equipment,Small,False,False
CHRN,15.57,44.0%,1.7%,7.3%,32.1%,5.0%,12.8%,Technology,Information Technology Services,Small,False,False
CXDO,9.36,41.6%,3.2%,10.6%,24.1%,5.7%,6.0%,Communication Services,Telecom Services,Small,False,False
AESI,18.71,40.8%,22.7%,5.0%,9.2%,36.2%,32.5%,Energy,Oil & Gas Equipment & Services,Mid,False,False
FTNT,114.07,39.4%,3.1%,2.3%,32.2%,3.4%,3.2%,Technology,Software - Infrastructure,Large,False,False
STM,59.17,33.8%,14.1%,10.5%,6.1%,2.8%,60.0%,Technology,Semiconductors,Large,False,True
STHH,115.69,33.0%,14.4%,10.4%,5.3%,4.5%,58.2%,Financial,Exchange Traded Fund,Small,True,True
MYRG,437.86,33.0%,3.0%,27.8%,1.0%,4.6%,43.4%,Industrials,Engineering & Construction,Mid,False,True
ATEX,55.92,32.5%,7.1%,9.8%,12.8%,3.5%,26.5%,Communication Services,Telecom Services,Small,False,False
DMRC,9.36,30.7%,1.8%,5.9%,21.2%,11.3%,49.3%,Technology,Software - Application,Small,False,False
ROMA,6.89,28.4%,13.9%,0.3%,12.4%,52.5%,59.9%,Industrials,Consulting Services,Small,False,True
CRWD,527.77,24.5%,5.7%,1.7%,15.8%,5.0%,14.2%,Technology,Software - Infrastructure,Large,False,False
NGL,16.33,24.4%,9.7%,5.0%,7.9%,2.7%,31.4%,Energy,Oil & Gas Midstream,Mid,False,False
PANW,207.88,23.8%,6.4%,1.4%,14.8%,7.7%,11.9%,Technology,Software - Infrastructure,Large,False,False
SHLS,8.84,23.5%,10.8%,2.9%,8.3%,11.0%,20.7%,Technology,Solar,Small,False,True
MRVL,170.13,21.8%,17.6%,0.4%,3.1%,21.3%,66.7%,Technology,Semiconductors,Large,False,True
CPRX,31.15,18.6%,4.2%,5.0%,8.4%,7.3%,13.6%,Healthcare,Biotechnology,Mid,False,True
HPE,31.35,18.6%,6.5%,1.5%,9.7%,10.9%,21.6%,Technology,Communication Equipment,Large,False,True
SXC,7.32,16.9%,4.0%,7.1%,5.0%,16.0%,4.8%,Basic Materials,Coking Coal,Small,False,False
BTSG,54.83,16.0%,1.9%,9.2%,4.3%,2.8%,12.6%,Healthcare,Health Information Services,Large,False,True
SGHC,13.08,15.9%,11.0%,2.9%,1.5%,0.9%,20.6%,Consumer Cyclical,Gambling,Mid,False,False
ADM,77.66,15.8%,3.3%,8.2%,3.6%,6.1%,2.5%,Consumer Defensive,Farm Products,Large,False,False
FSLR,219.95,15.5%,1.7%,9.3%,3.9%,0.0%,2.3%,Technology,Solar,Large,False,False
ENS,229.82,15.5%,5.2%,1.5%,8.2%,4.6%,23.0%,Industrials,Electrical Equipment & Parts,Mid,False,True
WCBR,29.45,15.2%,0.5%,3.9%,10.4%,3.1%,3.6%,Financial,Exchange Traded Fund,Small,True,False
UFOX,91.29,14.1%,3.1%,3.0%,7.4%,1.1%,23.5%,Financial,Exchange Traded Fund,Small,False,True
NTAP,118.0,12.9%,4.0%,3.1%,5.3%,3.4%,8.2%,Technology,Software - Infrastructure,Large,False,False
TAN,61.94,12.4%,5.8%,1.6%,4.5%,1.3%,4.8%,Financial,Exchange Traded Fund,Small,True,False
NXG,58.27,12.2%,7.0%,2.9%,2.0%,2.4%,5.3%,Financial,Closed-End Fund - Equity,Small,False,False
ISSB,23.6,11.2%,1.8%,3.0%,6.1%,1.2%,18.4%,Financial,Exchange Traded Fund,Small,True,True
LNTH,93.06,11.0%,0.6%,1.4%,8.8%,1.3%,11.6%,Healthcare,Drug Manufacturers - Specialty & Generic,Mid,False,True
BTX,8.15,10.9%,8.1%,1.4%,1.2%,1.3%,21.3%,Financial,Asset Management,Small,False,True
KGS,69.65,10.1%,4.3%,3.9%,1.6%,7.9%,16.3%,Energy,Oil & Gas Equipment & Services,Mid,False,True
SUNC,65.07,9.8%,4.3%,5.2%,0.1%,4.7%,8.2%,Energy,Oil & Gas Midstream,Mid,False,False
WES,43.49,9.6%,1.2%,2.7%,5.4%,1.2%,5.6%,Energy,Oil & Gas Midstream,Large,False,False
ICLN,21.16,9.1%,3.0%,4.8%,1.0%,0.4%,13.6%,Financial,Exchange Traded Fund,Small,True,True
HACK,85.62,9.0%,0.1%,2.7%,6.0%,2.6%,5.5%,Financial,Exchange Traded Fund,Small,True,False
FRNW,25.8,8.7%,4.5%,2.5%,1.5%,1.4%,9.6%,Financial,Exchange Traded Fund,Small,True,False
HAKY,25.41,8.2%,0.5%,0.9%,6.6%,2.1%,5.0%,Financial,Exchange Traded Fund,Small,True,False
PBT,23.1,8.1%,3.9%,0.9%,3.1%,8.8%,4.4%,Energy,Oil & Gas Midstream,Small,False,False
CIEN,548.11,8.0%,2.6%,2.8%,2.4%,11.3%,35.9%,Technology,Communication Equipment,Large,False,True
ORA,121.67,7.6%,0.3%,0.1%,7.2%,7.9%,2.8%,Utilities,Utilities - Renewable,Mid,False,False
SAIH,11.3,7.1%,1.9%,2.8%,2.3%,32.8%,26.3%,Technology,Information Technology Services,Small,False,False
ACES,37.04,6.9%,2.8%,0.3%,3.7%,2.8%,6.4%,Financial,Exchange Traded Fund,Small,True,False
PFIX,47.25,6.7%,1.1%,4.3%,1.2%,11.6%,3.2%,Financial,Exchange Traded Fund,Small,True,False
RDWR,27.48,6.7%,1.6%,2.2%,2.8%,13.7%,1.8%,Technology,Software - Infrastructure,Small,False,False
HGER,32.5,5.3%,3.3%,1.5%,0.4%,9.6%,5.1%,Financial,Exchange Traded Fund,Small,True,False
CMCI,29.38,4.9%,2.9%,1.6%,0.4%,8.6%,4.5%,Financial,Exchange Traded Fund,Small,True,False
TEXN,32.17,4.5%,1.9%,2.5%,0.1%,0.5%,6.0%,Financial,Exchange Traded Fund,Small,True,False
GCC,25.47,4.4%,2.3%,1.3%,0.7%,2.7%,5.8%,Financial,Exchange Traded Fund,Small,True,False
EQRR,75.92,4.1%,2.0%,1.2%,0.8%,1.7%,8.8%,Financial,Exchange Traded Fund,Small,True,False
