ticker,sector,industry,cap_label,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals,repeat
SSB,Industrials,Marine Shipping,Small,103.19,11,6,1,18,1.04,3.5%,5.7%,6.6%,-3.7%,0.004,0.228,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
NNN,Technology,Software - Infrastructure,Small,49.59,10,4,0,14,0.94,6.0%,7.4%,12.4%,0.0%,0.062,0.041,0.9596,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, gross_margin_healthy, eps_positive, inst_holders",False
EEA,Communication Services,Electronic Gaming & Multimedia,Large,10.83,8,4,1,13,0.56,-1.3%,0.1%,7.0%,-2.8%,0.008,0.491,1.0,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, bb_compressed","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders",False
