ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
EFC,13.44,10,7,1,18,1.26,-1.4%,1.6%,17.9%,-1.8%,0.042,0.765,1.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NLY,22.21,9,7,0,16,1.33,0.9%,4.4%,4.7%,-5.9%,-0.091,0.488,0.97490996,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PRTH,7.17,9,7,0,16,2.47,16.8%,24.7%,45.1%,-16.2%,0.314,0.111,0.39490002,"above_low_20_80, within_high_75, price_above_ma150, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
RSI,29.09,9,7,0,16,2.52,-0.8%,3.9%,37.0%,-3.4%,0.232,0.411,0.34884998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PRG,38.43,10,6,0,16,1.14,3.5%,16.3%,38.0%,-4.3%,0.242,0.111,0.3477,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SMTC,158.23,9,7,0,16,1.61,-3.3%,17.4%,102.0%,-9.2%,0.882,0.159,0.52394,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TER,437.92,9,7,0,16,1.64,14.8%,36.3%,44.9%,0.0%,0.311,0.87,0.58702,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MNST,91.34,9,7,0,16,1.15,-0.7%,5.8%,23.9%,-2.0%,0.101,0.269,0.55471003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
WDC,746.23,9,7,0,16,1.61,41.0%,63.8%,135.5%,0.0%,1.217,0.455,0.45428002,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
LRCX,389.04,8,7,0,15,1.35,7.4%,42.4%,66.4%,0.0%,0.526,0.238,0.49979,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ATRO,80.56,8,7,0,15,1.76,6.5%,1.5%,17.8%,-8.6%,0.04,0.12,0.31375998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ATEX,74.53,9,6,0,15,1.72,-8.5%,26.8%,86.5%,-10.2%,0.727,0.41,1.0,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
ARM,439.46,8,7,0,15,1.5,28.4%,96.9%,238.5%,0.0%,2.247,0.201,0.97541,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AMAT,617.11,8,7,0,15,1.48,11.7%,51.8%,73.0%,0.0%,0.592,0.114,0.48956,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CSCO,119.54,8,7,0,15,1.07,-1.9%,3.6%,53.1%,-8.0%,0.393,0.12,0.64296997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KLAC,259.56,8,7,0,15,1.47,7.6%,49.1%,71.9%,0.0%,0.582,0.115,0.61446,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AAPL,298.01,8,7,0,15,1.04,0.8%,-0.3%,19.8%,-5.5%,0.06,0.166,0.47862,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ADI,434.46,8,7,0,15,1.27,5.4%,5.2%,40.3%,-0.7%,0.266,0.372,0.64491,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NVT,177.02,8,6,1,15,1.03,7.6%,11.9%,44.6%,0.0%,0.308,0.535,0.3701,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
OKTA,117.81,8,7,0,15,0.92,0.3%,37.5%,45.9%,-15.7%,0.321,0.112,0.77436996,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NXPI,313.27,8,7,0,15,1.06,3.5%,6.5%,63.7%,-5.8%,0.499,0.122,0.55632,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SNEX,139.01,9,6,0,15,2.11,7.1%,27.1%,101.1%,0.0%,0.873,0.238,0.01643,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
STX,1070.23,8,7,0,15,1.36,23.3%,45.9%,146.7%,0.0%,1.329,0.441,0.41571,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
WTFC,154.11,9,6,0,15,1.27,-1.1%,5.3%,16.1%,-4.1%,0.023,0.104,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
TSM,462.12,8,7,0,15,1.01,9.7%,18.0%,36.7%,0.0%,0.229,0.351,0.61873,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SIMO,321.66,8,7,0,15,0.92,17.2%,27.2%,152.8%,0.0%,1.39,1.055,0.48095,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
JPM,325.22,9,6,0,15,1.35,3.7%,10.0%,13.5%,-2.5%,-0.003,0.127,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
QUAD,7.62,9,4,2,15,1.12,1.6%,4.8%,17.4%,-8.4%,0.036,-0.077,0.21792,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","earnings_accelerating, eps_beat, eps_positive, inst_holders"
MRVL,310.58,9,6,0,15,2.05,10.6%,76.2%,247.1%,-1.8%,2.333,0.276,0.51502997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MS,223.17,8,7,0,15,1.23,4.9%,17.7%,41.5%,-0.8%,0.277,0.163,0.87388,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GIII,34.77,11,4,0,15,1.33,-2.5%,22.7%,29.0%,-2.5%,0.152,-0.082,0.43488,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, inst_holders"
FTNT,144.73,8,7,0,15,1.26,-0.2%,13.4%,74.1%,-3.3%,0.603,0.201,0.80304,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CSX,45.63,8,6,1,15,1.15,-3.7%,-0.7%,18.9%,-4.1%,0.051,0.017,0.46816003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GS,1096.56,8,7,0,15,1.22,5.9%,18.6%,36.1%,-0.2%,0.223,0.145,0.82271004,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FLEX,147.61,9,6,0,15,2.91,-2.9%,16.9%,124.4%,-8.8%,1.106,0.169,0.094069995,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
KDP,30.76,10,5,0,15,1.31,-1.5%,6.6%,14.3%,-10.3%,0.005,0.094,0.53777003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
F,14.06,10,5,0,15,0.88,-4.4%,7.7%,22.3%,-19.4%,0.085,0.064,0.07064,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
TKO,198.78,8,6,0,14,1.98,-6.6%,3.4%,1.1%,-10.9%,-0.126,0.259,0.59119,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
WLY,46.7,9,5,0,14,2.04,4.6%,11.1%,29.4%,0.0%,0.156,0.013,0.74129,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
STRL,861.88,8,6,0,14,1.05,2.8%,18.3%,99.6%,-13.3%,0.858,0.916,0.23287001,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
