ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
CRDO,206.89,10,7,0,17,1.68,-12.3%,4.3%,88.4%,-12.3%,0.784,1.57,0.68035007,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ADEA,28.98,9,7,0,16,1.91,8.5%,-0.4%,46.4%,-13.7%,0.364,0.195,1.0,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NXPI,295.96,9,7,0,16,1.12,-7.9%,-2.5%,47.5%,-11.0%,0.375,0.122,0.55632,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
RPRX,55.87,9,7,0,16,1.25,0.2%,10.6%,23.6%,0.0%,0.136,0.11,1.15004,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BB,9.41,10,6,0,16,2.52,4.6%,57.1%,173.5%,-9.0%,1.636,0.101,0.76161003,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ARGX,891.32,9,7,0,16,1.22,6.6%,10.4%,24.2%,-4.1%,0.142,0.626,0.58106,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SIMO,258.7,8,7,0,15,1.35,-6.6%,5.8%,119.0%,-15.6%,1.09,1.055,0.48095,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TEO,13.24,8,7,0,15,1.29,-10.0%,7.7%,20.5%,-10.0%,0.105,0.305,0.75732005,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AIZ,257.35,9,6,0,15,1.21,3.4%,8.8%,15.5%,-0.3%,0.055,0.113,0.12745,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
AMG,336.81,9,6,0,15,1.2,11.2%,10.1%,17.9%,0.0%,0.079,0.097,0.49282002,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MRVL,263.47,9,6,0,15,2.52,28.5%,53.0%,194.3%,-16.7%,1.843,0.276,0.51502997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HPE,49.2,9,6,0,15,3.33,14.3%,62.0%,134.3%,-12.4%,1.244,0.4,0.33776,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ASYS,18.49,8,6,1,15,1.73,-13.1%,1.6%,43.1%,-19.0%,0.331,0.314,0.45926,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HBNC,18.75,10,4,1,15,1.42,1.1%,0.7%,16.2%,0.0%,0.062,0.085,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_positive, eps_beat, eps_positive, inst_holders"
HNGE,63.62,9,6,0,15,1.58,13.2%,16.0%,37.9%,0.0%,0.279,0.472,0.8098,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AD,50.45,8,6,0,14,2.82,-0.8%,1.4%,2.9%,-9.5%,-0.071,0.928,0.54889,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
ZGN,14.65,9,5,0,14,1.86,-0.3%,13.2%,39.9%,-1.8%,0.299,0.003,0.67504996,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
CEVA,43.58,9,5,0,14,1.98,9.0%,25.7%,127.8%,-13.0%,1.178,0.115,0.87185997,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, inst_holders"
