ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
FLEX,91.41,33.3%,11.9%,6.6%,11.7%,3.9%,39.9%,Technology,Electronic Components,Large,False,False
QUIK,13.08,31.5%,11.7%,7.5%,9.5%,14.0%,70.3%,Technology,Semiconductors,Small,False,True
INTT,18.36,30.5%,12.3%,0.6%,15.5%,17.2%,36.9%,Technology,Semiconductor Equipment & Materials,Small,False,True
VIAV,47.75,29.4%,13.3%,5.6%,8.2%,12.0%,57.5%,Technology,Communication Equipment,Large,False,True
AMPX,20.66,29.1%,7.6%,8.4%,10.7%,57.1%,24.9%,Industrials,Electrical Equipment & Parts,Mid,False,False
NAVN,15.6,29.1%,2.9%,21.2%,3.6%,35.9%,32.1%,Technology,Software - Application,Mid,False,False
JBL,341.65,27.2%,11.5%,7.4%,6.2%,0.3%,27.1%,Technology,Electronic Components,Large,False,True
ENLT,87.57,25.3%,6.8%,9.8%,7.0%,1.5%,32.8%,Utilities,Utilities - Renewable,Large,False,True
AIRG,6.76,24.3%,13.6%,5.7%,3.5%,31.0%,28.5%,Technology,Communication Equipment,Small,False,False
CC,26.61,23.5%,5.4%,2.1%,14.8%,21.4%,22.3%,Basic Materials,Specialty Chemicals,Mid,False,False
MTC,6.71,23.1%,5.0%,14.3%,2.6%,10.3%,62.3%,Technology,Software - Application,Small,False,False
PLXS,254.08,22.5%,9.8%,0.5%,11.1%,4.3%,23.7%,Technology,Electronic Components,Mid,False,False
SNX,227.71,22.1%,6.8%,7.3%,6.5%,7.6%,35.2%,Technology,Electronics & Computer Distribution,Large,False,False
ISSB,21.76,21.1%,8.3%,9.9%,1.8%,1.2%,18.4%,Financial,Exchange Traded Fund,Small,True,False
ADEA,30.31,20.9%,7.2%,7.7%,4.8%,16.1%,32.8%,Technology,Software - Application,Mid,False,True
BWAY,16.37,20.6%,2.6%,13.6%,3.5%,14.9%,24.6%,Healthcare,Medical Devices,Small,False,False
VOYA,80.35,19.6%,4.1%,6.4%,7.9%,2.8%,20.0%,Financial,Financial Conglomerates,Mid,False,False
PRAA,21.15,19.0%,7.5%,10.3%,0.3%,11.1%,24.5%,Financial,Credit Services,Small,False,True
OEC,7.54,18.9%,6.2%,3.1%,8.6%,14.2%,16.2%,Basic Materials,Specialty Chemicals,Small,False,False
MYRG,339.28,18.8%,11.4%,3.5%,3.0%,4.6%,43.4%,Industrials,Engineering & Construction,Mid,False,True
BTX,7.94,18.8%,7.4%,2.4%,8.1%,1.3%,21.3%,Financial,Asset Management,Small,False,False
NOK,10.46,18.6%,7.3%,9.0%,1.5%,4.1%,60.6%,Technology,Communication Equipment,Large,False,True
ENS,209.3,18.0%,7.7%,4.2%,5.2%,4.6%,23.0%,Industrials,Electrical Equipment & Parts,Mid,False,False
KSPI,85.78,17.6%,0.5%,13.4%,3.2%,4.9%,15.9%,Technology,Software - Infrastructure,Large,False,False
AMZY,12.22,17.5%,10.5%,3.2%,3.0%,0.4%,16.8%,Financial,Exchange Traded Fund,Small,True,False
CRSR,6.58,16.9%,1.1%,13.9%,1.5%,1.1%,22.3%,Technology,Computer Hardware,Small,False,True
BPI,25.64,16.8%,10.2%,4.4%,1.4%,3.2%,13.8%,Financial,Exchange Traded Fund,Small,True,False
TNC,81.52,16.7%,11.0%,1.5%,3.6%,9.3%,25.1%,Industrials,Specialty Industrial Machinery,Small,False,False
NXDT,5.16,16.5%,0.2%,10.8%,4.9%,8.3%,16.1%,Real Estate,REIT - Diversified,Small,False,False
CIEN,520.8,16.3%,10.8%,2.3%,2.6%,11.3%,35.9%,Technology,Communication Equipment,Large,False,True
SHLS,7.93,16.3%,2.3%,2.6%,10.8%,11.0%,20.7%,Technology,Solar,Small,False,False
ITRN,57.68,16.2%,7.9%,4.5%,3.1%,2.1%,21.1%,Technology,Scientific & Technical Instruments,Small,False,True
NYAX,66.31,16.1%,4.8%,9.1%,1.6%,9.5%,25.9%,Technology,Software - Infrastructure,Mid,False,False
HODL,21.97,15.9%,9.5%,5.6%,0.2%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
IBIT,44.02,15.9%,9.5%,5.7%,0.2%,3.3%,12.8%,Financial,Exchange Traded Fund,Small,True,False
ARKB,25.77,15.9%,9.3%,5.8%,0.2%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
BITB,42.18,15.9%,9.4%,5.7%,0.2%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
BTC,34.37,15.9%,9.4%,5.7%,0.2%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
BTCO,77.29,15.9%,9.5%,5.7%,0.1%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
FBTC,67.61,15.8%,9.4%,5.7%,0.2%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
EZBC,44.88,15.8%,9.4%,5.7%,0.1%,3.3%,12.7%,Financial,Exchange Traded Fund,Small,True,False
BRRR,21.9,15.8%,9.3%,5.8%,0.1%,3.2%,12.6%,Financial,Exchange Traded Fund,Small,True,False
BTCW,82.11,15.8%,9.2%,5.8%,0.2%,3.2%,12.7%,Financial,Exchange Traded Fund,Small,True,False
GBTC,60.37,15.8%,9.4%,5.7%,0.1%,3.2%,12.6%,Financial,Exchange Traded Fund,Small,True,False
BITO,10.65,15.7%,9.3%,5.7%,0.2%,2.8%,12.6%,Financial,Exchange Traded Fund,Small,True,False
EME,869.9,15.1%,6.1%,0.5%,8.0%,1.9%,20.8%,Industrials,Engineering & Construction,Large,False,False
UFOX,82.5,15.1%,2.9%,8.5%,3.1%,1.1%,23.5%,Financial,Exchange Traded Fund,Small,False,False
BITK,12.24,14.5%,9.4%,4.6%,0.2%,4.4%,11.0%,Financial,Exchange Traded Fund,Small,True,False
HPE,28.16,14.4%,1.1%,6.2%,6.5%,10.9%,21.6%,Technology,Communication Equipment,Large,False,False
YELP,28.74,14.3%,1.2%,9.7%,2.9%,11.0%,11.6%,Communication Services,Internet Content & Information,Small,False,False
ALTO,5.32,13.9%,2.8%,2.9%,7.7%,112.3%,14.0%,Basic Materials,Specialty Chemicals,Small,False,False
KGS,65.98,13.9%,4.9%,4.1%,4.3%,7.9%,16.3%,Energy,Oil & Gas Equipment & Services,Mid,False,False
HASI,41.75,13.8%,6.1%,4.4%,2.7%,0.6%,14.1%,Financial,Asset Management,Mid,False,True
HAFC,30.13,13.8%,5.8%,0.4%,7.2%,2.0%,13.5%,Financial,Banks - Regional,Small,False,False
SLB,56.15,13.6%,5.0%,1.4%,6.6%,0.7%,10.7%,Energy,Oil & Gas Equipment & Services,Large,False,False
IDGT,116.71,13.5%,4.8%,7.3%,1.0%,0.5%,22.4%,Financial,Exchange Traded Fund,Small,True,True
GAIN,16.2,13.2%,2.0%,8.7%,2.1%,4.3%,17.6%,Financial,Asset Management,Small,False,False
PTON,5.18,13.1%,0.9%,10.4%,1.6%,6.7%,27.0%,Consumer Cyclical,Leisure,Mid,False,False
TPC,86.76,12.2%,7.8%,1.0%,3.0%,2.4%,20.5%,Industrials,Engineering & Construction,Mid,False,False
MTZ,376.12,11.9%,7.4%,2.7%,1.4%,8.0%,22.5%,Industrials,Engineering & Construction,Large,False,True
IAC,44.48,11.8%,2.6%,8.6%,0.3%,4.5%,11.3%,Communication Services,Internet Content & Information,Mid,False,True
BTSG,48.16,11.7%,5.2%,4.3%,1.9%,2.8%,12.6%,Healthcare,Health Information Services,Large,False,False
OBK,46.63,11.6%,7.2%,2.2%,1.8%,0.0%,12.9%,Financial,Banks - Regional,Small,False,False
BCCC,14.66,11.4%,5.7%,4.3%,1.1%,3.7%,11.6%,Financial,Exchange Traded Fund,Small,True,False
CPRX,27.37,10.9%,1.0%,5.3%,4.2%,7.3%,13.6%,Healthcare,Biotechnology,Mid,False,False
UG,7.21,10.8%,0.6%,5.2%,4.6%,3.3%,6.4%,Consumer Defensive,Household & Personal Products,Small,False,False
LNTH,84.33,10.8%,5.9%,4.0%,0.6%,1.3%,11.6%,Healthcare,Drug Manufacturers - Specialty & Generic,Mid,False,True
SAH,71.84,10.7%,4.9%,3.9%,1.6%,9.3%,15.6%,Consumer Cyclical,Auto & Truck Dealerships,Mid,False,False
ICLN,19.99,10.7%,4.8%,2.5%,3.0%,0.4%,13.6%,Financial,Exchange Traded Fund,Small,True,False
YBTC,21.92,10.2%,5.1%,4.3%,0.6%,6.8%,6.3%,Financial,Exchange Traded Fund,Small,True,False
AENT,7.34,9.9%,3.6%,2.9%,3.1%,21.1%,19.7%,Communication Services,Entertainment,Small,False,False
RMBI,14.92,9.9%,2.4%,4.7%,2.5%,1.6%,16.6%,Financial,Banks - Regional,Small,False,False
CCRN,10.06,9.6%,3.3%,4.0%,2.0%,8.0%,7.7%,Healthcare,Medical Care Facilities,Small,False,False
ESE,319.9,9.5%,6.3%,1.4%,1.6%,1.5%,15.1%,Technology,Scientific & Technical Instruments,Mid,False,True
XFLT,18.11,9.5%,5.1%,1.0%,3.2%,4.1%,10.5%,Financial,Closed-End Fund - Debt,Small,False,False
