ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
ONEG,5.82,179.8%,85.8%,4.0%,44.8%,41.5%,325.0%,Industrials,Engineering & Construction,Small,False,False
WATT,28.19,79.1%,12.8%,39.3%,14.0%,32.7%,125.2%,Technology,Communication Equipment,Small,False,True
JLHL,9.73,69.2%,4.3%,5.8%,53.2%,4.6%,96.5%,Industrials,Building Products & Equipment,Small,False,False
LWLG,12.67,65.4%,38.4%,18.3%,1.0%,59.4%,95.2%,Basic Materials,Specialty Chemicals,Mid,False,True
ASST,15.8,62.1%,9.0%,46.8%,1.2%,26.2%,53.3%,Financial,Asset Management,Small,False,False
AMD,347.81,59.9%,12.7%,13.6%,24.9%,1.6%,74.3%,Technology,Semiconductors,Large,False,False
AAOI,162.17,56.1%,44.9%,5.9%,1.7%,0.4%,94.3%,Technology,Communication Equipment,Large,False,True
AMSC,49.48,54.2%,17.5%,5.3%,24.6%,3.9%,58.2%,Industrials,Specialty Industrial Machinery,Mid,False,False
ADV,33.39,53.5%,22.2%,15.5%,8.8%,62.0%,62.1%,Communication Services,Advertising Agencies,Small,False,False
MRVL,164.31,53.5%,20.0%,8.8%,17.6%,21.3%,66.7%,Technology,Semiconductors,Large,False,True
HIMX,12.09,52.5%,16.1%,20.5%,8.9%,8.1%,49.3%,Technology,Semiconductors,Mid,False,False
DIOD,104.4,52.2%,21.1%,14.2%,10.1%,0.0%,57.0%,Technology,Semiconductors,Mid,False,True
STM,50.47,47.1%,15.0%,12.0%,14.1%,2.8%,60.0%,Technology,Semiconductors,Large,False,True
JYD,4.3,46.3%,1.4%,4.4%,38.3%,5.7%,85.5%,Industrials,Integrated Freight & Logistics,Small,False,False
AMDY,43.35,46.1%,9.6%,10.9%,20.2%,5.1%,50.5%,Financial,Exchange Traded Fund,Small,True,False
STHH,99.5,44.0%,13.0%,11.5%,14.4%,4.5%,58.2%,Financial,Exchange Traded Fund,Small,True,True
STRO,33.33,40.2%,8.7%,22.0%,5.6%,21.7%,47.0%,Healthcare,Biotechnology,Small,False,False
CLS,410.21,39.1%,19.2%,12.7%,3.6%,1.5%,45.4%,Technology,Electronic Components,Large,False,False
POWL,252.76,38.4%,26.5%,4.4%,4.9%,3.4%,53.7%,Industrials,Electrical Equipment & Parts,Large,False,True
NCEW,15.89,38.2%,4.3%,11.2%,19.1%,34.0%,33.6%,Industrials,Integrated Freight & Logistics,Small,False,False
SVCO,9.93,38.1%,0.7%,17.8%,16.4%,110.7%,44.2%,Technology,Software - Application,Small,False,False
MSII,7.82,36.9%,8.3%,23.2%,2.5%,0.7%,29.5%,Financial,Exchange Traded Fund,Small,True,False
FBYD,15.37,36.3%,8.0%,11.4%,13.3%,117.6%,20.0%,Industrials,Conglomerates,Small,False,True
LNOK,47.63,35.9%,14.9%,17.4%,0.7%,4.8%,143.8%,Financial,Exchange Traded Fund,Small,True,False
ROMA,6.11,35.8%,4.0%,14.6%,13.9%,52.5%,59.9%,Industrials,Consulting Services,Small,False,False
ASTH,33.72,34.6%,10.3%,14.0%,7.0%,20.6%,39.2%,Healthcare,Medical Care Facilities,Small,False,False
CODI,11.49,33.8%,14.0%,7.4%,9.3%,4.9%,50.3%,Industrials,Conglomerates,Small,False,True
