ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
ZM,105.64,11,6,0,17,1.56,5.5%,17.4%,22.8%,-3.3%,0.132,0.053,0.7739,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SHO,10.62,10,7,0,17,1.44,4.6%,11.1%,15.8%,-0.8%,0.063,0.11,0.43502998,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HLIT,15.2,10,6,0,16,2.33,21.2%,45.7%,47.7%,0.0%,0.381,0.434,0.48291,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BB,7.91,10,6,0,16,1.69,27.8%,50.1%,138.3%,0.0%,1.287,0.101,0.76161003,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
LPG,46.46,9,7,0,16,1.89,16.5%,30.1%,37.4%,-2.6%,0.279,1.069,0.69361,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
IMPP,5.68,9,7,0,16,1.23,17.6%,26.2%,43.8%,-10.6%,0.342,0.951,0.44805,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MRAM,33.68,9,6,0,15,1.68,-10.4%,166.9%,213.3%,-23.5%,2.037,0.118,0.51161,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ARM,306.51,9,6,0,15,1.46,46.5%,49.8%,147.6%,0.0%,1.381,0.201,0.97541,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
LTH,32.07,8,7,0,15,0.86,-4.9%,18.0%,12.9%,-5.1%,0.033,0.117,0.47876,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HPE,37.58,9,6,0,15,0.93,13.5%,34.6%,89.1%,0.0%,0.795,0.184,0.32071,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
