ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
CUPR,5.33,119.3%,63.4%,10.1%,22.0%,19.0%,174.6%,Healthcare,Medical Instruments & Supplies,Small,False,False
MRNX,39.59,90.2%,9.0%,61.1%,8.3%,1.2%,103.0%,Financial,Exchange Traded Fund,Small,False,False
BLZE,14.56,87.6%,2.1%,3.4%,77.8%,93.5%,91.5%,Technology,Software - Infrastructure,Small,False,False
MBX,52.31,72.8%,17.3%,21.2%,21.6%,4.1%,75.4%,Healthcare,Biotechnology,Mid,False,False
LABU,276.16,72.3%,11.5%,15.8%,33.5%,10.0%,49.6%,Financial,Exchange Traded Fund,Small,True,False
RRGB,7.49,71.4%,16.7%,22.7%,19.6%,44.6%,57.9%,Consumer Cyclical,Restaurants,Small,False,False
AALG,20.16,71.0%,21.4%,13.4%,24.3%,52.2%,47.9%,Financial,Exchange Traded Fund,Small,True,False
ABSI,10.89,70.2%,6.3%,9.0%,47.0%,35.7%,71.7%,Healthcare,Biotechnology,Small,False,False
PGEN,5.86,63.7%,24.3%,8.3%,21.6%,4.3%,31.3%,Healthcare,Biotechnology,Mid,False,False
CBRL,52.85,57.6%,39.2%,1.4%,11.6%,8.0%,57.6%,Consumer Cyclical,Restaurants,Small,False,False
NRIX,22.9,56.4%,15.8%,3.5%,30.5%,6.3%,36.6%,Healthcare,Biotechnology,Mid,False,False
AKTS,29.44,56.0%,16.2%,9.8%,22.2%,10.6%,55.4%,Healthcare,Biotechnology,Small,False,False
ARL,21.5,55.7%,8.0%,7.3%,34.4%,5.9%,48.5%,Real Estate,Real Estate Services,Small,False,False
PILL,17.6,51.9%,16.6%,4.2%,24.9%,1.2%,45.1%,Financial,Exchange Traded Fund,Small,True,False
BIOA,23.76,51.3%,14.9%,15.1%,14.4%,2.6%,41.8%,Healthcare,Drug Manufacturers - Specialty & Generic,Small,False,False
AFRU,12.6,50.7%,6.3%,23.9%,14.4%,28.1%,16.2%,Financial,Exchange Traded Fund,Small,True,False
PRCH,13.89,50.0%,11.0%,20.4%,12.2%,8.2%,44.3%,Financial,Insurance - Property & Casualty,Small,False,False
COMP,11.4,47.9%,11.4%,16.5%,13.9%,8.7%,49.8%,Real Estate,Real Estate Services,Mid,False,False
