ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
CXDO,9.89,9,6,0,15,1.48,5.7%,52.9%,57.2%,0.0%,0.485,0.29,0.62078,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SUN,71.16,9,6,0,15,1.57,6.3%,11.9%,21.3%,0.0%,0.126,1.064,0.12344,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
VOYA,81.44,9,6,0,15,1.02,-0.2%,11.9%,10.0%,-2.0%,0.013,0.031,0.56404996,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KN,35.12,9,6,0,15,1.69,-0.5%,21.1%,28.7%,-4.1%,0.2,0.158,0.4509,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
WES,46.03,9,6,0,15,1.35,5.8%,15.1%,8.3%,0.0%,-0.004,0.225,0.69825995,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
INTT,18.44,9,6,0,15,2.29,6.9%,9.8%,75.6%,-2.4%,0.669,0.272,0.44,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FLEX,137.86,9,6,0,15,1.53,-3.0%,72.5%,114.6%,-5.0%,1.059,0.169,0.09268,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
AMAT,436.62,9,5,0,14,1.58,0.3%,12.0%,23.2%,-1.6%,0.145,-0.021,0.48724,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ACMR,63.67,8,6,0,14,2.04,6.4%,33.0%,-1.8%,-9.9%,-0.105,0.342,0.44235,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
VSH,37.23,9,5,0,14,2.35,8.7%,41.8%,98.3%,-3.3%,0.896,0.173,0.19916001,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
DOC,19.36,8,6,0,14,1.02,-1.4%,13.4%,17.3%,-2.1%,0.086,0.071,0.58329,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BAND,53.97,8,6,0,14,1.48,8.2%,164.3%,316.4%,0.0%,3.077,0.198,0.38237998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BELFB,256.72,8,6,0,14,2.25,-13.8%,6.3%,10.3%,-15.2%,0.016,0.172,0.39218,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AIP,33.71,9,5,0,14,2.49,5.8%,56.6%,130.6%,-9.7%,1.219,0.387,0.88804,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, inst_holders"
MXL,92.34,8,6,0,14,1.38,-7.5%,295.5%,372.8%,-9.7%,3.641,0.43,0.57155997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FENC,9.75,8,6,0,14,2.78,40.7%,54.8%,15.8%,-1.3%,0.071,0.726,0.92233,"above_low_20_80, within_high_75, price_above_ma150, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FCEL,21.36,10,4,0,14,2.78,55.9%,190.6%,195.8%,-1.1%,1.871,0.607,-0.15946999,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, inst_holders"
QCOM,201.49,9,5,0,14,1.7,-8.0%,49.8%,44.1%,-15.2%,0.354,-0.035,0.54799,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SPNT,22.96,8,5,1,14,1.29,-2.1%,1.2%,11.9%,-3.4%,0.032,0.065,0.24766001,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
POET,15.97,10,4,0,14,2.51,45.8%,117.6%,186.2%,-22.4%,1.775,10.753,1.0,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
EVC,7.83,9,4,0,13,2.69,9.4%,121.8%,173.6%,-12.2%,1.649,1.144,0.25315002,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, inst_holders"
F,13.4,8,5,0,13,2.28,10.1%,9.1%,-3.9%,-7.5%,-0.126,0.064,0.07064,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, last_vol_surge_up, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
XIFR,11.08,9,4,0,13,1.36,-5.5%,9.3%,2.7%,-8.3%,-0.06,-0.025,0.55799997,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
JBHT,262.21,8,5,0,13,1.41,6.9%,10.2%,18.5%,0.0%,0.097,0.046,0.18861,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
HG,31.84,8,5,0,13,1.21,3.2%,1.0%,10.2%,-2.9%,0.015,-0.022,0.40475,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
VPG,97.32,9,4,0,13,3.02,44.7%,89.4%,120.2%,-3.0%,1.115,0.176,0.39235002,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
OUT,31.51,8,5,0,13,1.65,-7.1%,6.7%,27.1%,-7.1%,0.184,0.1,0.50567,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PENG,46.82,9,4,0,13,2.64,5.9%,79.5%,141.7%,-5.3%,1.33,-0.062,0.28322,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, eps_positive, inst_holders"
MIRM,102.18,8,4,0,12,2.04,-4.6%,6.6%,-0.9%,-8.3%,-0.096,0.433,0.81386,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
ONDS,10.62,8,4,0,12,1.44,17.2%,4.1%,14.1%,-24.2%,0.054,6.292,0.39731,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
SATL,9.84,8,4,0,12,1.13,30.0%,30.9%,213.4%,0.0%,2.047,0.803,0.75082,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
UMC,17.2,8,4,0,12,1.35,11.5%,62.0%,65.1%,0.0%,0.563,0.055,0.29609,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_positive, inst_holders"
WEST,8.45,8,4,0,12,2.7,2.4%,62.2%,68.7%,-3.4%,0.599,0.444,0.13042,"within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, inst_holders"
