ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
HLIT,12.54,11,6,0,17,2.67,-2.1%,22.7%,17.4%,-6.1%,0.087,0.434,0.48291,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SHO,10.15,10,7,0,17,1.15,-3.2%,6.8%,11.2%,-3.2%,0.025,0.11,0.43502998,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ARMK,53.08,10,6,0,16,2.11,17.7%,19.8%,36.6%,0.0%,0.279,0.147,0.15359999,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
ORA,131.52,11,5,0,16,1.74,8.1%,16.9%,11.4%,-2.9%,0.027,0.758,0.2751,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
TWLO,198.29,9,7,0,16,1.19,-1.7%,44.8%,75.5%,-1.7%,0.668,0.2,0.48719,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CSCO,118.21,9,7,0,16,1.88,22.4%,39.9%,54.7%,0.0%,0.459,0.12,0.64276004,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
LFUS,446.11,8,7,0,15,1.83,-2.4%,15.5%,24.3%,-7.3%,0.156,0.185,0.38568002,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CLBK,19.57,10,5,0,15,1.51,0.3%,7.7%,6.3%,-0.7%,-0.024,0.185,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_positive, inst_holders"
HESM,39.9,9,6,0,15,1.14,4.5%,7.8%,11.0%,-0.5%,0.023,0.021,0.77255,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MRAM,37.57,9,6,0,15,5.55,39.2%,209.7%,240.6%,-14.6%,2.319,0.118,0.51161,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
