ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
BLZE,15.62,97.2%,3.4%,77.8%,7.3%,93.5%,91.5%,Technology,Software - Infrastructure,Small,False,True
DAVE,387.36,35.1%,9.6%,10.9%,11.1%,3.9%,31.9%,Technology,Software - Application,Mid,False,True
KYMR,113.51,31.7%,4.9%,19.6%,5.0%,0.4%,40.8%,Healthcare,Biotechnology,Mid,False,False
ACRS,5.56,28.7%,4.2%,11.1%,11.2%,4.8%,16.3%,Healthcare,Biotechnology,Small,False,False
HNGE,84.05,28.6%,6.2%,13.8%,6.4%,26.0%,47.7%,Healthcare,Health Information Services,Mid,False,True
AVAH,9.1,28.3%,9.9%,11.2%,5.1%,9.6%,19.5%,Healthcare,Medical Care Facilities,Mid,False,True
CTNM,15.1,27.1%,0.5%,18.8%,6.4%,5.2%,21.5%,Healthcare,Biotechnology,Small,False,True
DYN,23.07,26.8%,8.9%,5.8%,10.2%,10.1%,14.9%,Healthcare,Biotechnology,Mid,False,True
KURA,11.1,22.7%,9.7%,9.8%,1.8%,15.5%,7.5%,Healthcare,Biotechnology,Small,False,True
BBC,52.79,22.7%,5.7%,12.3%,3.4%,1.5%,18.2%,Financial,Exchange Traded Fund,Small,True,True
IMMX,10.34,22.4%,3.2%,14.4%,3.6%,0.8%,14.6%,Healthcare,Biotechnology,Small,False,True
ELMD,45.43,22.3%,4.1%,7.2%,9.6%,46.7%,12.1%,Healthcare,Medical Devices,Small,False,False
JXG,10.84,19.1%,5.5%,10.9%,1.8%,113.0%,33.7%,Consumer Cyclical,Apparel Manufacturing,Small,False,True
BLLN,120.35,19.0%,4.0%,12.4%,1.8%,31.9%,21.2%,Healthcare,Diagnostics & Research,Mid,False,True
HQL,20.12,18.7%,6.0%,7.2%,4.5%,5.4%,12.0%,Financial,Closed-End Fund - Equity,Small,False,True
CVLT,149.98,17.4%,1.8%,7.7%,7.1%,20.1%,19.4%,Technology,Software - Application,Mid,False,True
ILMN,188.68,17.2%,0.6%,9.0%,6.9%,28.6%,7.9%,Healthcare,Diagnostics & Research,Large,False,False
FMED,29.38,15.0%,2.2%,8.2%,4.0%,1.5%,13.4%,Financial,Exchange Traded Fund,Small,True,True
LFSC,46.14,14.9%,3.4%,8.3%,2.6%,3.6%,14.8%,Financial,Exchange Traded Fund,Small,True,True
JANX,15.54,14.6%,4.9%,5.1%,4.0%,1.5%,5.3%,Healthcare,Biotechnology,Small,False,True
CXW,31.03,14.5%,6.6%,6.5%,0.8%,3.0%,44.1%,Industrials,Security & Protection Services,Mid,False,True
ATEN,36.3,14.3%,4.7%,5.2%,3.8%,13.2%,24.0%,Technology,Software - Infrastructure,Mid,False,True
BBP,99.07,13.7%,3.3%,5.8%,4.0%,2.1%,11.2%,Financial,Exchange Traded Fund,Small,True,True
LINC,52.33,13.4%,4.9%,3.0%,4.9%,12.6%,7.7%,Consumer Defensive,Education & Training Services,Small,False,False
IRON,76.26,12.2%,4.1%,5.6%,2.0%,5.5%,5.1%,Healthcare,Biotechnology,Mid,False,True
ACA,144.97,11.9%,4.9%,6.4%,0.3%,0.2%,14.6%,Industrials,Engineering & Construction,Mid,False,True
