ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
APPS,9.01,113.5%,7.8%,93.0%,2.6%,22.6%,148.7%,Technology,Software - Application,Small,False,True
CTEV,25.84,86.3%,56.2%,15.9%,2.9%,48.9%,3.2%,Healthcare,Health Information Services,Small,False,False
LESL,4.63,52.8%,13.9%,10.7%,21.2%,51.3%,125.4%,Consumer Cyclical,Specialty Retail,Small,False,False
BBNX,13.89,46.8%,24.9%,2.5%,14.6%,1.8%,18.8%,Healthcare,Medical Devices,Small,False,False
ALNT,84.86,38.5%,3.3%,25.0%,7.2%,29.0%,3.9%,Technology,Electronic Components,Small,False,False
JXG,8.75,34.0%,10.7%,13.4%,6.7%,2.1%,113.0%,Consumer Cyclical,Apparel Manufacturing,Small,False,True
ADPT,16.9,31.7%,8.2%,9.1%,11.6%,1.6%,7.4%,Healthcare,Diagnostics & Research,Mid,False,False
KSS,15.34,31.4%,11.0%,10.0%,7.7%,10.9%,1.3%,Consumer Cyclical,Department Stores,Mid,False,False
CORT,72.62,28.8%,6.8%,15.4%,4.5%,15.4%,49.4%,Healthcare,Biotechnology,Mid,False,True
HURC,21.13,27.1%,2.9%,0.3%,23.1%,13.9%,2.4%,Industrials,Specialty Industrial Machinery,Small,False,True
CVLG,43.45,27.0%,9.2%,6.1%,9.6%,28.7%,13.9%,Industrials,Trucking,Small,False,True
HAE,71.28,26.6%,16.3%,3.5%,5.1%,6.6%,12.8%,Healthcare,Medical Devices,Mid,False,True
ARCB,155.09,26.4%,1.5%,9.7%,13.5%,29.7%,7.1%,Industrials,Trucking,Mid,False,True
CROX,119.35,25.7%,16.3%,7.5%,0.6%,22.8%,16.4%,Consumer Cyclical,Footwear & Accessories,Mid,False,False
KELYA,11.77,23.6%,11.0%,9.9%,1.3%,10.3%,19.1%,Industrials,Staffing & Employment Services,Small,False,False
CVCO,549.91,20.7%,11.7%,5.4%,2.5%,4.7%,5.8%,Consumer Cyclical,Residential Construction,Mid,False,False
IART,16.99,20.5%,7.1%,6.2%,5.9%,11.9%,52.2%,Healthcare,Medical Devices,Small,False,True
KFRC,47.55,20.4%,5.2%,13.1%,1.2%,56.9%,3.9%,Industrials,Staffing & Employment Services,Small,False,False
AVTR,9.16,20.2%,6.6%,12.3%,0.4%,3.3%,12.6%,Healthcare,Medical Instruments & Supplies,Mid,False,False
AVAL,4.8,20.1%,5.5%,9.0%,4.4%,1.4%,3.7%,Financial,Banks - Regional,Mid,False,False
AXTA,32.18,20.0%,9.0%,5.3%,4.6%,2.7%,8.2%,Basic Materials,Specialty Chemicals,Mid,False,False
CEVA,43.58,19.4%,8.0%,1.4%,9.0%,63.5%,30.9%,Technology,Semiconductors,Small,False,False
AGL,96.85,18.5%,5.7%,6.8%,5.0%,253.4%,230.2%,Healthcare,Medical Care Facilities,Small,False,True
FRD,24.4,18.4%,0.4%,13.1%,4.4%,16.2%,13.8%,Basic Materials,Steel,Small,False,False
CRS,483.6,18.3%,6.2%,8.0%,3.1%,8.6%,9.6%,Industrials,Metal Fabrication,Large,False,False
HTLD,15.74,18.3%,7.9%,4.5%,5.0%,28.9%,12.0%,Industrials,Trucking,Small,False,True
AMCX,9.8,18.1%,11.3%,5.2%,0.8%,25.0%,14.5%,Communication Services,Entertainment,Small,False,False
FTNT,144.68,17.8%,9.1%,3.0%,4.9%,3.2%,63.6%,Technology,Software - Infrastructure,Large,False,True
BZH,25.96,17.4%,10.1%,4.2%,2.2%,12.2%,17.6%,Consumer Cyclical,Residential Construction,Small,False,True
CBZ,33.93,17.3%,11.4%,3.0%,2.2%,13.6%,8.9%,Industrials,Specialty Business Services,Small,False,False
GIII,33.71,17.3%,7.3%,4.9%,4.3%,13.0%,3.7%,Consumer Cyclical,Apparel Manufacturing,Small,False,False
FC,23.93,16.8%,15.5%,0.2%,0.9%,34.3%,11.9%,Consumer Defensive,Education & Training Services,Small,False,False
ATEX,66.64,16.8%,11.4%,0.7%,4.1%,26.5%,32.5%,Communication Services,Telecom Services,Small,False,True
HNGE,63.62,16.7%,1.4%,1.7%,13.2%,15.7%,26.0%,Healthcare,Health Information Services,Mid,False,False
GE,328.0,16.5%,7.6%,6.9%,1.3%,2.3%,11.7%,Industrials,Aerospace & Defense,Large,False,False
GO,8.56,15.7%,8.3%,6.2%,0.6%,12.2%,7.6%,Consumer Defensive,Grocery Stores,Small,False,False
CLDT,11.44,15.7%,8.2%,1.4%,5.4%,11.7%,25.0%,Real Estate,REIT - Hotel & Motel,Small,False,False
BNED,10.37,15.6%,6.2%,8.7%,0.1%,11.7%,5.1%,Consumer Cyclical,Specialty Retail,Small,False,False
AMRX,13.75,15.3%,4.1%,6.0%,4.4%,3.5%,2.3%,Healthcare,Drug Manufacturers - Specialty & Generic,Mid,False,False
HST,24.62,15.2%,4.7%,2.7%,7.1%,11.5%,8.8%,Real Estate,REIT - Hotel & Motel,Large,False,False
ATI,177.47,15.1%,5.2%,7.9%,1.3%,6.9%,12.7%,Industrials,Metal Fabrication,Large,False,False
BWA,72.46,14.9%,4.1%,9.1%,1.1%,5.3%,26.1%,Consumer Cyclical,Auto Parts,Large,False,True
AMG,336.81,14.6%,2.7%,0.3%,11.2%,6.5%,2.8%,Financial,Asset Management,Mid,False,False
H,193.06,14.5%,3.2%,4.1%,6.5%,16.6%,8.2%,Consumer Cyclical,Lodging,Large,False,True
APLE,15.64,14.3%,5.2%,1.5%,7.0%,17.8%,9.7%,Real Estate,REIT - Hotel & Motel,Mid,False,False
AAT,23.32,13.9%,9.7%,2.3%,1.5%,14.6%,12.3%,Real Estate,REIT - Diversified,Small,False,False
KNX,78.37,13.8%,1.5%,7.9%,3.9%,13.1%,16.5%,Industrials,Trucking,Large,False,True
EXTR,28.02,13.6%,3.8%,3.6%,5.7%,46.5%,20.0%,Technology,Communication Equipment,Mid,False,True
KFY,72.32,13.4%,6.6%,2.9%,3.3%,6.5%,5.3%,Industrials,Staffing & Employment Services,Mid,False,False
CNCG,31.69,12.8%,2.7%,1.4%,8.3%,158.8%,20.8%,Financial,Exchange Traded Fund,Small,True,True
DRH,11.61,12.7%,4.0%,2.6%,5.6%,9.9%,7.7%,Real Estate,REIT - Hotel & Motel,Mid,False,False
CNXN,72.15,12.6%,3.7%,4.7%,3.7%,9.0%,9.2%,Technology,Electronics & Computer Distribution,Small,False,False
ALV,127.56,11.9%,6.9%,4.4%,0.3%,11.1%,9.7%,Consumer Cyclical,Auto Parts,Mid,False,False
GCBC,27.62,11.8%,1.5%,4.7%,5.3%,7.3%,9.1%,Financial,Banks - Regional,Small,False,True
AIN,67.46,11.7%,2.4%,4.1%,4.7%,11.8%,11.5%,Consumer Cyclical,Textile Manufacturing,Mid,False,False
CAKE,66.13,11.7%,3.3%,8.0%,0.1%,15.4%,5.0%,Consumer Cyclical,Restaurants,Mid,False,False
HIW,27.88,11.7%,0.7%,3.8%,6.8%,13.5%,7.4%,Real Estate,REIT - Office,Mid,False,True
AIR,116.65,11.6%,3.7%,3.9%,3.6%,0.8%,2.0%,Industrials,Aerospace & Defense,Mid,False,False
ARGX,891.32,11.5%,0.9%,3.7%,6.6%,7.0%,6.9%,Healthcare,Biotechnology,Large,False,True
HSTM,25.24,11.4%,4.9%,5.0%,1.1%,0.4%,20.3%,Healthcare,Health Information Services,Small,False,False
