ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
GTY,32.08,10,7,1,18,0.8,-3.3%,0.9%,14.1%,-5.2%,0.172,0.142,0.96056,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PRDO,34.56,12,6,0,18,1.88,-3.4%,10.1%,20.2%,-7.3%,0.234,0.2,0.79551005,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
EQT,64.67,10,7,0,17,0.8,0.5%,8.2%,19.3%,-0.0%,0.224,0.269,0.78629,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CSGS,79.87,10,5,2,17,1.35,0.4%,0.7%,4.6%,-0.0%,0.078,0.02,0.49025002,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SR,88.44,9,7,1,17,0.86,-4.7%,-0.2%,6.4%,-4.7%,0.095,0.139,0.41588002,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
RRC,44.47,10,7,0,17,1.04,2.2%,13.9%,25.8%,-1.8%,0.29,0.163,0.49644002,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NFBK,13.22,10,5,2,17,1.56,1.9%,-0.9%,9.6%,-3.8%,0.127,0.142,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
NFG,91.7,10,7,0,17,0.96,-4.8%,4.3%,12.4%,-4.8%,0.155,0.186,0.65967005,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MASI,178.24,10,5,2,17,1.52,1.6%,1.7%,31.3%,-0.3%,0.344,0.12,0.61805,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
BVS,8.64,11,5,1,17,1.62,0.2%,0.7%,11.3%,-11.3%,0.145,0.028,0.68327004,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
