ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
AL,64.58,9,7,0,16,1.79,0.1%,0.2%,1.3%,-0.3%,0.044,0.151,0.59429,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CF,130.97,9,7,0,16,2.5,13.1%,35.8%,73.0%,-3.7%,0.761,0.228,0.38452998,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GAIN,14.1,11,5,0,16,2.46,4.4%,1.6%,2.3%,-0.2%,0.054,0.173,1.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, inst_holders"
TEN,34.19,9,7,0,16,2.24,-1.6%,22.6%,43.9%,-9.5%,0.47,0.18,0.56592,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GPRK,8.77,9,5,1,15,1.68,2.2%,1.8%,20.3%,-1.6%,0.234,-0.233,0.71349996,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NTR,82.79,10,5,0,15,1.78,8.6%,13.3%,40.3%,-1.4%,0.434,0.057,0.32167,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
NSSC,42.56,8,7,0,15,3.09,3.8%,-0.7%,1.8%,-9.6%,0.049,0.122,0.56582,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BEP,30.05,9,6,0,15,0.92,-0.6%,-2.8%,7.1%,-6.1%,0.102,0.075,0.5469,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HOLX,75.21,9,4,1,14,0.95,-0.7%,0.2%,0.5%,-0.7%,0.036,0.025,0.60378,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
LXU,14.64,9,5,0,14,3.08,8.5%,41.7%,67.1%,-5.2%,0.702,0.223,0.16954,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
LWLG,7.31,10,4,0,14,3.46,74.0%,105.9%,73.6%,0.0%,0.767,0.273,0.93564004,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
PBR-A,16.96,10,4,0,14,1.57,5.2%,14.9%,45.5%,-2.5%,0.485,0.05,0.47632998,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
LOCO,12.84,9,5,0,14,1.85,16.7%,19.9%,12.8%,0.0%,0.159,0.009,0.21863002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
BTI,60.03,9,5,0,14,1.03,3.7%,-0.5%,3.5%,-4.8%,0.066,0.001,0.82651,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ECVT,11.53,8,5,1,14,1.29,4.6%,-1.1%,27.6%,-1.1%,0.307,0.34,0.2185,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
APEI,57.25,9,5,0,14,2.16,27.2%,32.4%,58.9%,0.0%,0.62,-0.035,0.54223996,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SCHL,34.09,8,6,0,14,0.74,-5.4%,-3.4%,22.1%,-5.4%,0.252,0.012,0.56122,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
