ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
NBIS,115.05,9,4,1,14,1.15,28.8%,29.8%,22.9%,-15.1%,0.26,5.008,0.6863,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
ERIC,11.48,8,5,0,13,1.04,3.1%,3.1%,19.8%,-1.0%,0.229,-0.05,0.48143002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SSL,11.43,9,4,0,13,1.62,27.6%,50.6%,81.7%,0.0%,0.848,0.002,0.4067,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
EQNR,35.2,9,4,0,13,1.59,4.8%,24.8%,55.1%,0.0%,0.582,-0.047,0.3694,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FTK,17.48,8,4,1,13,1.38,2.9%,0.9%,4.7%,-10.5%,0.078,0.33,0.25218,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_positive, inst_holders"
AAOI,97.21,8,5,0,13,1.74,1.7%,100.8%,177.9%,-23.5%,1.81,0.339,0.30044,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, inst_holders"
HAFN,6.69,9,4,0,13,1.83,-10.3%,5.7%,23.8%,-10.8%,0.269,-0.309,0.28061,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, eps_positive, inst_holders"
UMAC,20.45,9,4,0,13,1.82,24.3%,69.4%,94.4%,-7.7%,0.975,1.444,0.34884998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
IPI,45.03,8,5,0,13,2.57,5.9%,28.0%,73.5%,-7.8%,0.765,0.339,0.24915001,"within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
NRXS,6.89,9,4,0,13,1.66,20.6%,48.1%,149.5%,0.0%,1.526,0.217,0.84347,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
ELE,22.92,8,4,0,12,1.29,0.8%,10.2%,53.0%,-5.5%,0.561,0.842,0.99046,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
HIMX,9.9,8,4,0,12,5.21,33.8%,20.0%,4.4%,-2.3%,0.075,-0.144,0.30566,"above_low_20_80, within_high_75, price_above_ma150, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MUR,35.91,8,4,0,12,1.23,3.9%,6.0%,8.8%,0.0%,0.119,-0.084,0.75711,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NOK,8.27,8,4,0,12,1.35,6.9%,12.7%,33.0%,0.0%,0.361,0.024,0.44647998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
VVX,67.42,8,4,0,12,1.13,-7.5%,3.1%,17.9%,-8.8%,0.21,0.053,0.08334,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, eps_positive, inst_holders"
