ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
OS,23.98,8,6,2,16,0.85,0.9%,1.6%,27.3%,-17.8%,0.353,0.236,0.68661004,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
LMAT,106.62,9,7,0,16,1.23,0.3%,-6.0%,26.7%,-6.0%,0.346,0.157,0.70448,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TGS,34.37,10,5,0,15,1.96,5.8%,14.8%,10.3%,0.0%,0.182,0.041,0.54864,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TSEM,171.92,9,6,0,15,1.86,5.1%,38.8%,40.4%,-8.9%,0.483,0.137,0.23233,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
YOU,47.44,8,6,0,14,1.63,-1.4%,1.4%,32.0%,-12.9%,0.4,0.167,0.64424,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SFD,26.69,9,5,0,14,2.92,15.4%,8.3%,18.8%,0.0%,0.267,0.07,0.13444,"base_tight, above_low_20_80, within_high_75, price_above_ma150, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
GRDN,34.16,9,5,0,14,1.34,-4.1%,3.3%,10.7%,-9.1%,0.186,0.174,0.20206,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
PBA,45.77,10,4,0,14,1.18,1.7%,5.2%,22.3%,0.0%,0.302,-0.108,0.38365,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ARM,144.13,8,6,0,14,2.12,8.9%,11.5%,29.2%,-19.3%,0.371,0.263,0.97495,"above_low_20_80, within_high_75, price_above_ma150, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ELPC,11.41,8,6,0,14,1.62,2.1%,-2.5%,28.8%,-4.0%,0.367,0.194,0.18073,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
