ticker,sector,industry,cap_label,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals,repeat
ADI,Technology,Semiconductors,Large,375.72,8,7,1,16,1.12,-0.8%,1.0%,-13.3%,-15.4%,-0.153,0.396,0.65800005,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
NVT,Industrials,Electrical Equipment & Parts,Large,157.88,8,7,1,16,1.11,-2.8%,0.6%,-10.7%,-14.2%,-0.127,0.528,0.36453998,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
STBA,Financial,Banks - Regional,Small,50.17,10,5,1,16,1.73,0.4%,0.1%,7.9%,-5.3%,0.059,0.061,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
USAC,Energy,Oil & Gas Equipment & Services,Mid,26.87,10,6,0,16,2.85,-2.8%,0.1%,9.4%,-9.5%,0.074,0.368,0.66071,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders",False
GCMG,Financial,Asset Management,Mid,13.14,8,7,1,16,1.31,2.3%,-3.8%,10.0%,-5.7%,0.08,0.118,0.45533,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
OPRT,Financial,Credit Services,Small,8.16,9,6,1,16,1.51,3.7%,8.1%,58.1%,0.0%,0.561,0.094,0.95237,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
MSM,Industrials,Industrial Distribution,Mid,122.21,9,6,1,16,1.4,1.4%,1.6%,3.9%,-4.0%,0.019,0.078,0.40823,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
PRLB,Industrials,Metal Fabrication,Mid,87.75,9,7,0,16,1.62,7.0%,6.9%,8.3%,-5.0%,0.063,0.106,0.45421,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
LTC,Real Estate,REIT - Healthcare Facilities,Mid,42.56,9,7,0,16,1.43,0.7%,6.1%,18.7%,-2.2%,0.167,0.655,0.60456,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
UBSI,Financial,Banks - Regional,Mid,47.11,10,5,1,16,1.58,-0.2%,-0.4%,6.9%,-3.8%,0.049,0.062,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
INSW,Energy,Oil & Gas Midstream,Mid,111.15,9,7,0,16,1.79,7.2%,17.1%,38.2%,0.0%,0.362,1.401,0.725,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
FIBK,Financial,Banks - Regional,Mid,37.35,10,5,1,16,1.58,1.2%,-1.3%,3.8%,-6.0%,0.018,0.074,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
IDT,Communication Services,Telecom Services,Small,69.84,10,5,1,16,2.05,-1.0%,5.5%,26.0%,-1.7%,0.24,0.045,0.37352002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
GOOG,Communication Services,Internet Content & Information,Large,344.41,8,7,1,16,1.08,2.7%,0.9%,-6.2%,-13.6%,-0.082,0.242,0.60897,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
XOM,Energy,Oil & Gas Integrated,Large,163.54,9,6,1,16,1.22,-1.5%,-0.7%,19.4%,-3.4%,0.174,0.441,0.29767,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
HALO,Healthcare,Biotechnology,Large,112.45,9,6,1,16,1.54,4.9%,4.5%,64.0%,0.0%,0.62,0.477,0.76271003,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
FANG,Energy,Oil & Gas E&P,Large,192.42,8,7,1,16,2.79,-6.1%,-7.7%,5.4%,-9.0%,0.034,0.525,0.72353995,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
WT,Financial,Asset Management,Mid,23.07,8,7,1,16,1.92,-3.6%,1.6%,26.2%,-7.9%,0.242,0.573,0.53330004,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
NTAP,Technology,Software - Infrastructure,Large,197.79,8,7,1,16,1.04,-0.7%,1.7%,24.2%,-4.5%,0.222,0.299,0.70625997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
HRTG,Financial,Insurance - Property & Casualty,Small,34.42,9,6,1,16,1.21,-0.5%,3.3%,47.9%,-2.8%,0.459,0.03,0.45389,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
SFBS,Financial,Banks - Regional,Mid,41.45,10,6,0,16,1.81,-1.6%,-5.6%,3.5%,-9.4%,0.015,0.301,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
TEN,Energy,Oil & Gas Midstream,Small,52.09,9,7,0,16,2.33,8.7%,22.3%,39.6%,-1.4%,0.376,0.544,0.61575,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
COP,Energy,Oil & Gas E&P,Large,131.83,8,7,1,16,1.42,-4.0%,1.0%,23.2%,-6.6%,0.212,0.355,0.47574002,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
CRGY,Energy,Oil & Gas E&P,Mid,13.9,8,7,1,16,1.64,-5.2%,3.5%,34.5%,-9.6%,0.325,0.553,0.62158,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
SLDE,Financial,Insurance - Property & Casualty,Mid,24.95,9,7,0,16,1.98,0.4%,11.0%,51.0%,-5.8%,0.49,0.479,0.67939,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
MSGS,Communication Services,Entertainment,Mid,398.75,9,6,1,16,1.65,1.7%,-1.0%,7.7%,-3.7%,0.057,0.367,0.33605,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, atr_contracted","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
SND,Energy,Oil & Gas Equipment & Services,Small,5.38,10,5,1,16,1.23,3.3%,12.8%,14.7%,-5.6%,0.127,0.341,0.13461,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders",False
DCOM,Financial,Banks - Regional,Small,40.73,10,5,1,16,1.19,0.0%,2.0%,5.1%,-2.4%,0.031,0.12,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_positive, inst_holders",False
SPNT,Financial,Insurance - Reinsurance,Mid,24.75,11,4,1,16,2.04,2.3%,5.9%,8.7%,-5.9%,0.067,-0.005,0.23864001,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, eps_beat, eps_positive, inst_holders",False
CNO,Financial,Insurance - Life,Mid,55.21,8,7,1,16,1.92,0.5%,3.9%,9.0%,-2.4%,0.07,0.116,0.38706002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
SXT,Basic Materials,Specialty Chemicals,Mid,129.6,8,7,1,16,0.94,0.8%,-2.7%,14.6%,-5.7%,0.126,0.116,0.34876,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
MG,Industrials,Security & Protection Services,Small,20.75,9,6,1,16,3.17,4.7%,6.7%,12.4%,0.0%,0.104,0.042,0.31558,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",True
DVN,Energy,Oil & Gas E&P,Large,48.61,9,6,1,16,1.68,-2.6%,1.5%,16.2%,-5.4%,0.142,0.642,0.50349,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, rs_vs_spy, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
CVSA,Consumer Defensive,Education & Training Services,Mid,126.72,9,6,1,16,1.05,1.3%,-3.9%,6.4%,-18.0%,0.044,0.097,0.57338,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, atr_contracted","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
EBAY,Consumer Cyclical,Internet Retail,Large,111.84,9,7,0,16,1.7,3.8%,9.3%,3.6%,-5.4%,0.016,0.148,0.72052,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
COKE,Consumer Defensive,Beverages - Non-Alcoholic,Large,192.08,8,7,1,16,1.74,-0.3%,2.8%,6.0%,-11.2%,0.04,0.106,0.39111,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, rel_vol_high, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
XMTR,Industrials,Industrial Distribution,Mid,97.18,9,5,1,15,1.56,12.9%,14.9%,4.2%,-7.3%,0.022,0.411,0.38749,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, eps_positive, inst_holders",False
NBBK,Financial,Banks - Regional,Small,22.78,9,5,1,15,0.96,-0.0%,4.0%,13.5%,-2.0%,0.115,0.486,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders",False
NSIT,Technology,Electronics & Computer Distribution,Mid,154.91,8,6,1,15,1.64,-6.3%,5.2%,42.9%,-6.3%,0.409,0.147,0.22103001,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
MTW,Industrials,Farm & Heavy Construction Machinery,Small,22.35,9,6,0,15,1.21,7.6%,16.5%,69.7%,0.0%,0.677,0.103,0.1872,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
MUR,Energy,Oil & Gas E&P,Mid,37.39,8,6,1,15,1.3,-2.9%,1.4%,10.2%,-10.9%,0.082,0.356,0.82672995,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders",False
OKTA,Technology,Software - Infrastructure,Large,182.37,8,7,0,15,1.38,9.5%,29.1%,54.8%,-4.2%,0.528,0.106,0.78132004,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
NAVI,Financial,Credit Services,Small,9.51,8,6,1,15,1.87,1.0%,4.6%,19.6%,-24.2%,0.176,0.042,1.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma50_cross_recent, rel_vol_high, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
AUB,Financial,Banks - Regional,Mid,39.03,9,6,0,15,1.52,-1.7%,-5.6%,0.5%,-9.3%,-0.015,0.358,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
BRK-B,Financial,Insurance - Diversified,Large,509.77,8,6,1,15,1.44,-0.1%,2.0%,4.1%,-3.7%,0.021,0.1,0.30332002,"base_tight, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
WSBC,Financial,Banks - Regional,Mid,39.37,9,5,1,15,1.49,-2.0%,-3.5%,9.5%,-6.9%,0.075,0.035,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
