ticker,sector,industry,cap_label,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals,repeat
PSTL,Real Estate,REIT - Office,Small,23.63,11,7,1,19,2.4,1.9%,3.8%,4.8%,-4.4%,0.028,0.224,0.78360003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
EGP,Real Estate,REIT - Industrial,Large,202.37,10,6,2,18,1.52,2.1%,0.0%,2.0%,-9.4%,-0.0,0.091,0.73607004,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed, atr_contracted","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
HSTM,Healthcare,Health Information Services,Small,29.23,9,7,2,18,1.17,0.4%,2.4%,14.1%,-1.8%,0.121,0.125,0.65081,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
NWBI,Financial,Banks - Regional,Mid,15.46,11,6,1,18,1.67,-0.2%,1.2%,8.1%,-2.2%,0.061,0.232,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
SBLK,Industrials,Marine Shipping,Mid,32.48,9,7,1,17,1.5,4.2%,11.0%,29.7%,0.0%,0.277,0.445,0.47327998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
VRSN,Technology,Software - Infrastructure,Large,303.12,10,6,1,17,1.03,3.6%,11.0%,14.9%,-1.9%,0.129,0.06,0.88465,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
OFG,Financial,Banks - Regional,Mid,52.5,10,6,1,17,1.56,-0.3%,1.7%,13.3%,-2.7%,0.113,0.104,,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
NVGS,Energy,Oil & Gas Midstream,Small,25.0,10,7,0,17,1.68,8.1%,15.4%,15.5%,-0.2%,0.135,0.295,0.54609,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
CATY,Financial,Banks - Regional,Mid,62.25,10,6,1,17,1.49,0.4%,0.2%,6.0%,-3.5%,0.04,0.138,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
KO,Consumer Defensive,Beverages - Non-Alcoholic,Large,88.25,9,6,2,17,1.12,0.6%,-1.7%,11.8%,-3.5%,0.098,0.067,0.61888003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed, atr_contracted","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
CFFN,Financial,Banks - Regional,Small,8.9,11,6,0,17,1.54,0.9%,4.8%,11.2%,-2.2%,0.092,0.183,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
FBNC,Financial,Banks - Regional,Mid,63.38,10,6,1,17,1.82,-1.4%,-1.7%,4.7%,-4.5%,0.027,0.16,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
HPK,Energy,Oil & Gas E&P,Small,8.33,9,7,1,17,1.84,-1.7%,2.1%,16.0%,-3.6%,0.14,0.258,0.72227997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
HAFC,Financial,Banks - Regional,Small,32.32,10,6,1,17,1.23,1.6%,3.8%,4.5%,-2.1%,0.025,0.233,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
FCFS,Financial,Credit Services,Mid,218.99,9,7,1,17,1.04,-4.1%,3.3%,-3.4%,-7.4%,-0.054,0.294,0.57869,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising, atr_contracted","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
EXPD,Industrials,Integrated Freight & Logistics,Large,190.94,10,6,1,17,1.17,-0.9%,2.4%,18.4%,-1.5%,0.164,0.321,0.13549,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
JPM,Financial,Banks - Diversified,Large,349.67,10,6,1,17,1.59,-1.8%,-2.1%,8.0%,-4.2%,0.06,0.304,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
CVX,Energy,Oil & Gas Integrated,Large,209.51,10,7,0,17,1.91,-2.1%,1.8%,21.7%,-3.8%,0.197,0.535,0.44267,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
STNG,Energy,Oil & Gas Midstream,Mid,87.16,10,7,0,17,1.6,3.1%,10.1%,8.8%,-0.8%,0.068,0.775,0.72968,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
BGC,Financial,Capital Markets,Mid,12.22,10,6,1,17,1.82,0.4%,13.1%,1.6%,-3.2%,-0.004,0.083,0.91666,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
TXN,Technology,Semiconductors,Large,266.64,8,7,2,17,1.2,-0.8%,-0.3%,-17.0%,-19.3%,-0.19,0.228,0.58325,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
SHBI,Financial,Banks - Regional,Small,23.23,10,6,1,17,1.27,-0.9%,1.4%,6.4%,-5.0%,0.044,0.106,,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
PRAA,Financial,Credit Services,Small,21.0,8,7,1,16,1.42,10.9%,8.0%,40.6%,-5.5%,0.386,0.294,1.0,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
