ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
AAPL,312.06,10,7,0,17,1.08,2.3%,15.6%,18.2%,-0.1%,0.077,0.166,0.47862,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FRT,119.63,10,7,0,17,1.07,0.9%,8.2%,11.2%,-1.2%,0.006,0.103,0.67989,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TEO,14.71,10,7,0,17,2.37,23.9%,20.6%,25.9%,0.0%,0.154,0.305,0.75732005,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
RPRX,55.76,10,7,0,17,1.66,4.1%,13.2%,21.2%,0.0%,0.106,0.11,1.15004,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
RS,380.77,10,6,1,17,0.87,4.8%,6.3%,21.5%,0.0%,0.11,0.155,0.28701,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
TRNO,65.69,9,7,1,17,1.56,-1.0%,1.4%,0.3%,-2.1%,-0.103,0.127,0.75905997,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MSCI,631.38,10,7,0,17,1.22,8.4%,5.9%,10.8%,0.0%,0.002,0.141,0.82856005,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
DAVE,282.56,9,7,0,16,1.74,17.3%,9.8%,46.2%,0.0%,0.356,0.467,0.72103995,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HLIT,15.11,10,6,0,16,4.51,19.0%,46.4%,42.1%,-11.7%,0.316,0.434,0.48291,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
IRM,128.25,8,7,1,16,0.85,0.7%,12.0%,19.4%,-2.9%,0.088,0.216,0.55018,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BB,9.0,10,6,0,16,2.16,35.3%,67.3%,165.5%,0.0%,1.549,0.101,0.76161003,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CXDO,9.88,10,6,0,16,1.95,2.9%,50.6%,69.2%,-0.8%,0.586,0.29,0.62078,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
DDOG,247.35,9,7,0,16,0.98,13.4%,84.6%,120.9%,0.0%,1.104,0.322,0.79906,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SMTC,152.54,9,7,0,16,2.04,4.1%,55.2%,69.1%,-8.3%,0.585,0.159,0.52394,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ZVRA,11.59,10,6,0,16,1.85,10.5%,19.9%,29.8%,-9.4%,0.192,0.775,0.86070997,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MNST,88.08,9,7,0,16,1.0,2.0%,14.6%,3.3%,-1.3%,-0.073,0.269,0.55471003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NBIX,158.3,9,7,0,16,0.83,1.8%,20.6%,19.7%,-1.9%,0.091,0.422,0.6437,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CTO,20.55,8,7,1,16,1.96,0.3%,0.6%,7.6%,-1.4%,-0.03,0.15,0.74858004,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
