ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
APPS,8.78,117.3%,4.5%,7.8%,93.0%,22.6%,148.7%,Technology,Software - Application,Small,False,False
JXG,8.2,110.3%,67.4%,10.7%,13.4%,2.1%,113.0%,Consumer Cyclical,Apparel Manufacturing,Small,False,False
AGL,92.28,70.2%,50.7%,5.7%,6.8%,253.4%,230.2%,Healthcare,Medical Care Facilities,Small,False,False
GRDX,5.61,64.0%,13.2%,25.1%,15.9%,24.3%,123.5%,Healthcare,Biotechnology,Small,False,False
VSH,52.05,51.9%,8.7%,26.9%,10.2%,61.9%,79.7%,Technology,Semiconductors,Mid,False,False
MRVU,132.4,40.8%,6.8%,21.9%,8.1%,168.0%,47.2%,Financial,Exchange Traded Fund,Small,True,False
MVLL,100.57,39.8%,6.4%,21.8%,7.8%,166.2%,45.8%,Financial,Exchange Traded Fund,Small,True,False
HPE,43.04,37.3%,5.6%,13.5%,14.5%,21.6%,49.6%,Technology,Communication Equipment,Large,False,True
TTRX,5.2,37.2%,6.9%,26.7%,1.4%,15.3%,40.9%,Healthcare,Biotechnology,Small,False,False
FPS,54.66,35.4%,11.5%,6.4%,14.1%,28.5%,45.3%,Industrials,Electrical Equipment & Parts,Large,False,False
BZH,25.39,35.3%,17.8%,10.1%,4.2%,12.2%,17.6%,Consumer Cyclical,Residential Construction,Small,False,False
ELIL,26.98,34.7%,11.9%,12.5%,7.0%,1.7%,37.5%,Financial,Exchange Traded Fund,Small,True,False
NMAX,8.51,34.2%,13.6%,5.0%,12.6%,20.7%,35.1%,Communication Services,Broadcasting,Small,False,False
CORT,69.49,32.9%,7.8%,6.8%,15.4%,15.4%,49.4%,Healthcare,Biotechnology,Mid,False,True
BAND,64.97,30.2%,8.2%,13.7%,5.8%,106.6%,76.5%,Technology,Software - Infrastructure,Mid,False,True
NSIT,106.38,27.0%,6.1%,9.9%,8.9%,8.8%,45.9%,Technology,Electronics & Computer Distribution,Mid,False,False
PENG,55.83,26.2%,5.9%,13.6%,4.9%,72.8%,83.6%,Technology,Information Technology Services,Mid,False,False
