ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
BUD,81.33,11,7,1,19,1.64,-3.3%,0.9%,16.6%,-4.4%,0.027,0.12,0.56172,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
INCY,116.86,11,7,0,18,1.29,8.7%,26.7%,23.9%,0.0%,0.1,0.209,0.52766,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BY,37.44,11,6,0,17,1.91,1.8%,12.1%,17.8%,-2.3%,0.038,0.138,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
SFBS,86.64,11,6,0,17,2.22,-0.2%,12.6%,19.0%,-2.5%,0.05,0.185,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
SLDE,21.25,11,6,0,17,1.72,17.7%,22.3%,18.7%,0.0%,0.048,0.382,0.66943,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TRNO,67.33,10,7,0,17,2.08,3.9%,6.6%,9.9%,0.0%,-0.041,0.127,0.75905997,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PRTH,7.18,10,7,0,17,2.31,2.4%,11.8%,53.1%,-16.1%,0.391,0.111,0.39490002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KYIV,15.68,9,7,0,16,1.89,4.7%,9.3%,54.2%,-3.0%,0.402,0.267,0.89224,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KRNY,9.37,11,5,0,16,2.38,2.7%,14.1%,23.8%,-1.8%,0.099,0.175,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_positive, inst_holders"
IPAR,119.39,10,6,0,16,1.83,14.4%,31.2%,30.0%,-10.9%,0.161,0.018,0.59213,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MSM,122.78,10,6,0,16,1.69,2.9%,6.6%,35.4%,-0.5%,0.215,0.078,0.40823,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ANIP,86.03,8,7,1,16,1.23,3.3%,15.2%,13.3%,-12.9%,-0.007,0.205,0.60826,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
