ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,repeat,is_etf
FETH,25.29,5.2%,0.9%,0.8%,3.4%,18.0%,33.1%,Financial,Exchange Traded Fund,Small,False,True
ETHB,32.68,5.2%,0.9%,0.8%,3.5%,18.4%,33.3%,Financial,Exchange Traded Fund,Small,False,True
ETHW,18.16,5.2%,0.9%,0.9%,3.4%,18.3%,33.1%,Financial,Exchange Traded Fund,Small,False,True
ETHE,20.42,5.1%,0.9%,0.8%,3.3%,18.1%,32.9%,Financial,Exchange Traded Fund,Small,False,True
TETH,12.67,5.1%,0.8%,0.8%,3.4%,18.3%,33.1%,Financial,Exchange Traded Fund,Small,False,True
TXBC,17.29,5.0%,2.2%,1.7%,1.0%,8.7%,30.3%,Financial,Exchange Traded Fund,Small,False,False
JOYY,77.26,5.0%,1.2%,0.6%,3.0%,11.5%,1.5%,Communication Services,Internet Content & Information,Mid,False,False
ETHA,19.16,5.0%,0.7%,0.8%,3.5%,18.3%,33.0%,Financial,Exchange Traded Fund,Small,False,True
LTC,42.27,5.0%,0.9%,1.5%,2.6%,5.1%,0.7%,Real Estate,REIT - Healthcare Facilities,Mid,False,False
BSBR,6.02,4.9%,1.2%,2.6%,1.0%,10.3%,1.4%,Financial,Banks - Regional,Large,False,False
EETH,30.75,4.9%,0.9%,0.7%,3.2%,18.3%,32.6%,Financial,Exchange Traded Fund,Small,False,True
JPY,39.74,4.4%,1.6%,2.0%,0.7%,2.0%,3.7%,Financial,Exchange Traded Fund,Small,False,True
GRN,34.35,4.3%,0.4%,1.3%,2.5%,1.8%,2.0%,Financial,Exchange Traded Fund,Small,False,True
MAGY,42.47,4.3%,2.2%,0.8%,1.2%,0.9%,2.6%,Financial,Exchange Traded Fund,Small,False,True
FMAO,35.47,4.2%,0.6%,3.0%,0.6%,9.9%,1.8%,Financial,Banks - Regional,Small,False,False
XEY,20.15,4.2%,0.5%,1.2%,2.5%,4.4%,3.9%,Financial,Exchange Traded Fund,Small,False,True
MAGS,69.89,3.9%,2.7%,0.5%,0.6%,2.6%,4.2%,Financial,Exchange Traded Fund,Small,False,True
SBB,23.2,3.9%,1.3%,0.2%,2.3%,2.3%,1.1%,Financial,Exchange Traded Fund,Small,False,True
PST,24.49,3.7%,0.2%,0.6%,2.9%,3.7%,0.4%,Financial,Exchange Traded Fund,Small,False,True
MTCH,42.39,3.7%,1.7%,0.7%,1.3%,4.1%,3.1%,Communication Services,Internet Content & Information,Large,False,False
GSJY,56.49,3.6%,0.7%,2.4%,0.5%,1.0%,3.8%,Financial,Exchange Traded Fund,Small,False,True
ASMF,26.89,3.4%,0.7%,0.5%,2.2%,0.4%,1.5%,Financial,Exchange Traded Fund,Small,False,True
MATX,230.18,3.3%,0.7%,0.6%,2.0%,5.4%,11.2%,Industrials,Marine Shipping,Mid,False,False
CMAG,26.44,3.2%,2.3%,0.7%,0.1%,4.3%,3.4%,Financial,Exchange Traded Fund,Small,False,True
STRC,98.14,3.1%,1.2%,1.0%,0.9%,6.6%,9.7%,Technology,Software - Application,Large,False,False
TOPW,33.29,3.1%,2.6%,0.2%,0.3%,2.6%,2.9%,Financial,Exchange Traded Fund,Small,False,True
SVOL,16.77,3.0%,0.4%,1.9%,0.6%,0.3%,6.1%,Financial,Exchange Traded Fund,Small,False,True
IXP,119.89,3.0%,1.0%,0.6%,1.3%,1.9%,1.4%,Financial,Exchange Traded Fund,Small,False,True
ECBK,21.21,2.9%,0.6%,0.1%,2.2%,2.3%,0.7%,Financial,Banks - Regional,Small,False,False
YMAG,11.17,2.8%,1.4%,1.1%,0.3%,1.5%,3.5%,Financial,Exchange Traded Fund,Small,False,True
JPXN,104.8,2.8%,0.8%,1.7%,0.2%,0.3%,3.1%,Financial,Exchange Traded Fund,Small,False,True
DFJ,116.19,2.8%,0.9%,1.1%,0.7%,1.6%,7.1%,Financial,Exchange Traded Fund,Small,False,True
HULL,27.73,2.6%,0.3%,1.8%,0.4%,7.7%,3.0%,Financial,Exchange Traded Fund,Small,False,True
SAN,14.96,2.5%,0.5%,1.8%,0.2%,2.2%,3.3%,Financial,Banks - Diversified,Large,False,False
MKTN,27.91,2.5%,1.0%,0.8%,0.6%,5.2%,1.0%,Financial,Exchange Traded Fund,Small,False,False
MATE,31.92,2.5%,0.2%,0.8%,1.5%,0.3%,3.3%,Financial,Exchange Traded Fund,Small,False,True
HRTG,34.58,2.2%,0.1%,0.3%,1.9%,12.6%,14.5%,Financial,Insurance - Property & Casualty,Small,False,False
GGME,64.62,2.1%,1.5%,0.0%,0.6%,0.2%,6.4%,Financial,Exchange Traded Fund,Small,False,True
JPFP,52.06,2.1%,1.6%,0.1%,0.4%,1.0%,4.1%,Financial,Exchange Traded Fund,Small,False,True
