ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
TEN,33.87,9,7,0,16,2.23,-2.5%,21.4%,42.6%,-10.3%,0.456,0.18,0.56592,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AL,64.58,9,7,0,16,1.77,0.1%,0.2%,1.3%,-0.3%,0.043,0.151,0.59429,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GAIN,14.02,11,5,0,16,2.45,3.8%,1.0%,1.7%,-0.8%,0.047,0.173,1.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, inst_holders"
CF,130.17,9,7,0,16,2.49,12.4%,35.0%,72.0%,-4.3%,0.75,0.228,0.38452998,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
GPRK,8.77,9,5,1,15,1.63,2.0%,1.7%,20.2%,-1.7%,0.232,-0.233,0.71349996,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NTR,82.28,10,5,0,15,1.77,8.0%,12.6%,39.5%,-2.0%,0.425,0.057,0.32167,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
NSSC,42.38,8,7,0,15,3.09,3.3%,-1.1%,1.4%,-10.0%,0.044,0.122,0.56582,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BEP,30.25,9,6,0,15,0.9,0.0%,-2.2%,7.9%,-5.5%,0.109,0.075,0.5469,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
HOLX,75.21,9,4,1,14,0.94,-0.7%,0.2%,0.5%,-0.7%,0.035,0.025,0.60378,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
MTZ,289.45,8,6,0,14,0.93,1.3%,9.2%,26.5%,-5.0%,0.295,0.158,0.12537,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
ERIC,11.45,8,5,1,14,1.04,2.9%,2.8%,19.5%,-1.3%,0.225,-0.05,0.48143002,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
NBIS,113.32,9,4,1,14,1.15,26.9%,27.9%,21.1%,-16.3%,0.241,5.008,0.6863,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
BTI,60.02,9,5,0,14,1.03,3.7%,-0.5%,3.5%,-4.8%,0.065,0.001,0.82651,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
APEI,56.91,9,5,0,14,2.09,26.4%,31.6%,58.0%,0.0%,0.61,-0.035,0.54223996,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
