ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
FCFS,199.58,10,7,1,18,1.55,3.9%,2.3%,25.5%,0.0%,0.291,0.198,0.58992,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SNX,186.92,10,6,0,16,2.28,17.1%,16.6%,24.8%,0.0%,0.284,0.181,0.07097,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
ADTN,12.88,9,6,0,15,1.43,-0.7%,25.7%,48.2%,-0.7%,0.518,0.201,0.38287,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ECO,51.75,8,7,0,15,1.25,5.6%,1.8%,57.4%,-5.6%,0.61,0.489,0.51647997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
BKSY,30.81,9,5,1,15,1.54,9.5%,26.8%,64.3%,-2.6%,0.679,0.16,0.66875,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, inst_holders"
IDN,7.81,8,7,0,15,3.47,47.1%,53.1%,16.9%,0.0%,0.205,0.118,0.90444,"within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SHBI,18.86,10,5,0,15,1.09,2.8%,2.1%,7.4%,-6.9%,0.109,0.081,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
KRP,14.76,10,5,0,15,1.32,0.9%,4.1%,28.8%,-0.5%,0.323,0.088,0.93647003,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
INGM,24.75,9,6,0,15,1.42,9.1%,-5.5%,16.4%,-5.8%,0.2,0.115,0.06687,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
UTHR,564.81,9,6,0,15,1.95,6.1%,15.2%,15.9%,-4.8%,0.195,0.074,0.87921995,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
