ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
DOCN,75.59,9,7,0,16,1.75,-16.0%,10.0%,44.1%,-16.0%,0.453,0.183,0.59860003,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MRVL,128.49,9,7,0,16,1.4,20.0%,42.1%,54.1%,0.0%,0.553,0.221,0.51023996,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FRT,109.05,10,6,0,16,1.35,2.1%,3.0%,7.2%,-0.3%,0.084,0.075,0.67917,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
WSR,18.9,10,5,0,15,4.31,14.0%,14.9%,33.8%,-0.2%,0.35,0.075,0.68833,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders"
DBD,84.78,9,6,0,15,4.1,9.6%,12.7%,24.7%,0.0%,0.259,0.117,0.26365998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
WAB,267.28,9,6,0,15,1.24,5.3%,8.7%,20.3%,-1.4%,0.215,0.148,0.34665,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AAOI,150.6,9,5,0,14,1.52,44.9%,18.6%,356.2%,0.0%,3.574,0.339,0.30044,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, inst_holders"
LWLG,10.6,10,4,0,14,1.58,38.4%,111.2%,150.0%,0.0%,1.512,5.945,0.97119004,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
ADTN,15.09,8,6,0,14,1.36,17.2%,47.4%,70.9%,0.0%,0.721,0.201,0.38287,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TIMB,27.96,8,6,0,14,1.25,6.0%,7.9%,37.7%,0.0%,0.389,0.044,0.53928,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MAC,21.42,10,4,0,14,0.98,9.7%,11.7%,17.3%,0.0%,0.185,-0.174,0.56044996,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ECVT,13.93,8,5,0,13,1.24,6.8%,25.8%,33.2%,0.0%,0.344,0.34,0.2185,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
