ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
PLPC,318.6,15.6%,9.8%,3.1%,2.1%,1.2%,6.7%,Industrials,Electrical Equipment & Parts,Small,False,True
ZYME,27.8,15.0%,6.7%,2.0%,5.6%,3.4%,7.5%,Healthcare,Biotechnology,Mid,False,True
DELL,195.94,14.4%,1.5%,2.0%,10.5%,30.0%,10.8%,Technology,Computer Hardware,Large,False,True
IAC,44.36,14.2%,2.4%,2.6%,8.6%,3.7%,4.5%,Communication Services,Internet Content & Information,Mid,False,True
ITRN,55.97,14.1%,1.2%,7.9%,4.5%,7.6%,2.1%,Technology,Scientific & Technical Instruments,Small,False,False
INTT,15.89,13.3%,0.3%,12.3%,0.6%,27.3%,17.2%,Technology,Semiconductor Equipment & Materials,Small,False,False
RGS,27.01,13.2%,2.5%,2.3%,8.0%,1.5%,7.9%,Consumer Cyclical,Personal Services,Small,False,True
HASI,40.64,13.1%,2.1%,6.1%,4.4%,6.1%,0.6%,Financial,Asset Management,Mid,False,True
EQIX,1088.62,13.0%,3.9%,3.0%,5.7%,18.7%,1.2%,Real Estate,REIT - Specialty,Large,False,False
ESE,314.92,12.8%,4.7%,6.3%,1.4%,21.6%,1.5%,Technology,Scientific & Technical Instruments,Mid,False,False
LNTH,83.82,12.6%,2.2%,5.9%,4.0%,11.9%,1.3%,Healthcare,Drug Manufacturers - Specialty & Generic,Mid,False,False
BOTJ,23.11,12.2%,2.4%,5.4%,4.0%,5.4%,3.9%,Financial,Banks - Regional,Small,False,False
IMRX,5.56,12.1%,9.9%,1.3%,0.7%,7.8%,5.6%,Healthcare,Biotechnology,Small,False,False
