ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
MVLL,50.27,107.6%,24.1%,42.3%,17.5%,4.2%,37.1%,Financial,Exchange Traded Fund,Small,True,False
LWLG,12.54,73.2%,5.8%,38.4%,18.3%,33.6%,59.4%,Basic Materials,Specialty Chemicals,Small,False,False
WATT,24.73,70.6%,8.6%,12.8%,39.3%,49.6%,32.7%,Technology,Communication Equipment,Small,False,False
AAOI,159.42,62.3%,5.8%,44.9%,5.9%,93.1%,0.4%,Technology,Communication Equipment,Large,False,False
CODI,10.51,57.3%,28.6%,14.0%,7.4%,14.0%,4.9%,Industrials,Conglomerates,Small,False,False
ORKA,68.92,54.9%,19.9%,11.8%,15.7%,0.5%,42.5%,Healthcare,Biotechnology,Mid,False,False
MRVL,139.69,47.3%,12.9%,20.0%,8.8%,3.6%,21.3%,Technology,Semiconductors,Large,False,True
FBYD,13.57,40.9%,17.1%,8.0%,11.4%,8.5%,117.6%,Industrials,Conglomerates,Small,False,True
DIOD,94.84,39.1%,0.6%,21.1%,14.2%,15.3%,0.0%,Technology,Semiconductors,Mid,False,True
AVBP,29.64,38.3%,16.1%,2.3%,16.4%,2.1%,0.4%,Healthcare,Biotechnology,Small,False,False
COHU,41.26,37.6%,7.2%,16.2%,10.5%,5.8%,1.4%,Technology,Semiconductor Equipment & Materials,Mid,False,True
STM,44.22,36.3%,5.8%,15.0%,12.0%,20.5%,2.8%,Technology,Semiconductors,Large,False,False
UCTT,79.51,35.1%,7.3%,20.0%,4.9%,38.9%,2.5%,Technology,Semiconductor Equipment & Materials,Mid,False,True
ATLC,70.96,34.6%,1.4%,18.6%,11.9%,1.3%,0.3%,Financial,Credit Services,Small,False,False
POWL,241.01,34.4%,1.8%,26.5%,4.4%,18.0%,3.4%,Industrials,Electrical Equipment & Parts,Mid,False,True
STHH,86.99,32.8%,5.4%,13.0%,11.5%,20.7%,4.5%,Financial,Exchange Traded Fund,Small,True,False
NOK,10.31,29.2%,10.5%,7.3%,9.0%,20.1%,4.1%,Technology,Communication Equipment,Large,False,False
VIAV,44.14,27.4%,6.5%,13.3%,5.6%,21.5%,12.0%,Technology,Communication Equipment,Large,False,True
DLLL,49.07,26.7%,1.8%,3.9%,19.8%,56.9%,19.3%,Financial,Exchange Traded Fund,Small,True,True
CIEN,507.43,26.3%,11.5%,10.8%,2.3%,38.5%,11.3%,Technology,Communication Equipment,Large,False,True
QUIK,11.94,25.3%,4.4%,11.7%,7.5%,11.8%,14.0%,Technology,Semiconductors,Small,False,True
PRAA,21.09,25.2%,5.5%,7.5%,10.3%,23.1%,11.1%,Financial,Credit Services,Small,False,False
STTK,7.53,25.1%,6.6%,7.8%,8.8%,1.3%,64.0%,Healthcare,Biotechnology,Small,False,False
ENLT,81.87,24.1%,5.9%,6.8%,9.8%,21.0%,1.5%,Utilities,Utilities - Renewable,Large,False,False
NKTR,84.86,23.6%,12.1%,0.7%,9.5%,84.8%,4.3%,Healthcare,Biotechnology,Mid,False,False
ATEN,27.55,23.3%,7.4%,0.0%,14.8%,10.4%,20.4%,Technology,Software - Infrastructure,Small,False,True
JBL,321.69,23.2%,2.9%,11.5%,7.4%,11.7%,0.3%,Technology,Electronic Components,Large,False,True
PLAB,48.38,22.2%,3.2%,9.9%,7.8%,8.3%,8.0%,Technology,Semiconductor Equipment & Materials,Mid,False,True
CRSR,6.48,21.8%,5.8%,1.1%,13.9%,7.6%,1.1%,Technology,Computer Hardware,Small,False,False
IDGT,115.58,20.6%,7.3%,4.8%,7.3%,11.1%,0.5%,Financial,Exchange Traded Fund,Small,True,False
MYRG,329.33,20.4%,4.5%,11.4%,3.5%,8.0%,4.6%,Industrials,Engineering & Construction,Mid,False,False
MRX,51.52,19.9%,2.2%,13.7%,3.2%,10.1%,2.6%,Financial,Capital Markets,Mid,False,True
ADEA,28.93,19.6%,3.6%,7.2%,7.7%,14.4%,16.1%,Technology,Software - Application,Mid,False,True
SIXG,80.04,19.4%,7.0%,2.9%,8.5%,1.7%,1.1%,Financial,Exchange Traded Fund,Small,True,False
POWI,58.65,18.5%,5.8%,4.1%,7.6%,4.3%,7.3%,Technology,Semiconductors,Mid,False,False
PBI,12.84,18.1%,1.5%,3.2%,12.8%,2.9%,3.8%,Industrials,Integrated Freight & Logistics,Mid,False,True
CBL,43.86,17.5%,7.8%,5.6%,3.2%,5.5%,1.7%,Real Estate,REIT - Retail,Small,False,True
MTZ,370.89,17.4%,6.4%,7.4%,2.7%,23.9%,8.0%,Industrials,Engineering & Construction,Large,False,True
ECPG,80.75,17.2%,3.3%,6.0%,7.1%,23.7%,2.7%,Financial,Credit Services,Small,False,True
CRUS,167.8,17.0%,2.6%,8.7%,4.9%,8.3%,2.5%,Technology,Semiconductors,Mid,False,True
NSA,43.28,16.8%,5.5%,5.2%,5.2%,10.1%,7.8%,Real Estate,REIT - Industrial,Mid,False,False
DXPE,159.37,16.6%,4.9%,7.1%,3.8%,6.5%,0.9%,Industrials,Industrial Distribution,Mid,False,False
MBIN,48.91,15.7%,5.3%,6.1%,3.6%,2.0%,1.5%,Financial,Banks - Regional,Mid,False,False
