ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,repeat,is_etf
AAPY,27.9,5.7%,0.2%,4.3%,1.2%,6.0%,3.2%,Financial,Exchange Traded Fund,Small,True,True
SAIC,133.19,5.7%,0.6%,2.5%,2.5%,6.4%,9.5%,Technology,Information Technology Services,Mid,False,False
JOYY,78.73,5.6%,0.6%,3.0%,1.9%,11.5%,1.5%,Communication Services,Internet Content & Information,Mid,True,False
APA,44.87,5.5%,0.5%,4.6%,0.3%,15.4%,15.6%,Energy,Oil & Gas E&P,Large,False,False
IBEX,40.2,5.5%,2.8%,1.6%,1.0%,16.4%,8.8%,Technology,Information Technology Services,Small,True,False
ETCO,9.08,5.1%,0.4%,1.8%,2.9%,9.0%,11.4%,Financial,Exchange Traded Fund,Small,False,False
AAPL,336.13,5.1%,0.1%,3.8%,1.2%,6.8%,2.7%,Technology,Consumer Electronics,Large,True,False
GRN,34.74,5.0%,1.3%,2.5%,1.1%,1.8%,2.0%,Financial,Exchange Traded Fund,Small,True,True
TFFI,21.56,5.0%,0.6%,3.4%,0.9%,2.9%,1.5%,Financial,Exchange Traded Fund,Small,False,False
SDCI,31.56,5.0%,2.1%,2.7%,0.1%,9.5%,5.7%,Financial,Exchange Traded Fund,Small,False,True
FMF,52.85,4.9%,1.4%,2.3%,1.1%,0.1%,0.8%,Financial,Exchange Traded Fund,Small,False,True
LTC,42.56,4.8%,1.5%,2.6%,0.7%,5.1%,0.7%,Real Estate,REIT - Healthcare Facilities,Mid,True,False
SBB,23.72,4.8%,0.2%,2.3%,2.2%,2.3%,1.1%,Financial,Exchange Traded Fund,Small,True,True
XEY,20.33,4.7%,1.2%,2.5%,0.9%,4.4%,3.9%,Financial,Exchange Traded Fund,Small,True,False
CERY,39.85,4.3%,2.1%,2.0%,0.0%,7.6%,7.3%,Financial,Exchange Traded Fund,Small,False,True
SUN,77.87,4.3%,1.3%,2.7%,0.3%,13.6%,0.5%,Energy,Oil & Gas Refining & Marketing,Large,False,False
SEA,20.62,4.3%,1.3%,0.7%,2.2%,13.8%,6.1%,Financial,Exchange Traded Fund,Small,False,True
PST,24.65,4.2%,0.6%,2.9%,0.6%,3.7%,0.4%,Financial,Exchange Traded Fund,Small,True,True
HFMF,22.28,4.1%,1.0%,1.9%,1.1%,0.2%,0.3%,Financial,Exchange Traded Fund,Small,False,True
NBCM,31.67,4.1%,2.0%,2.0%,0.1%,7.8%,7.7%,Financial,Exchange Traded Fund,Small,False,True
DMLP,29.79,4.0%,2.0%,1.2%,0.8%,9.3%,9.8%,Energy,Oil & Gas E&P,Small,False,False
DJP,52.7,4.0%,2.0%,1.7%,0.2%,8.4%,8.4%,Financial,Exchange Traded Fund,Small,False,True
QQQU,60.25,4.0%,1.1%,1.3%,1.6%,4.2%,8.2%,Financial,Exchange Traded Fund,Small,True,True
MTCH,43.2,3.9%,0.7%,1.3%,1.9%,4.1%,3.1%,Communication Services,Internet Content & Information,Mid,True,False
MAGX,59.57,3.8%,1.0%,1.3%,1.5%,3.5%,7.8%,Financial,Exchange Traded Fund,Small,True,True
MATX,232.92,3.8%,0.6%,2.0%,1.2%,5.4%,11.2%,Industrials,Marine Shipping,Mid,True,False
GCC,27.11,3.7%,2.0%,0.9%,0.7%,6.9%,9.0%,Financial,Exchange Traded Fund,Small,False,True
FMAO,35.53,3.7%,3.0%,0.6%,0.2%,9.9%,1.8%,Financial,Banks - Regional,Small,True,False
CON,35.47,3.5%,0.6%,1.4%,1.5%,6.4%,6.8%,Healthcare,Medical Care Facilities,Mid,False,False
AFRI,11.15,3.5%,2.4%,0.4%,0.7%,6.3%,1.7%,Consumer Defensive,Farm Products,Small,False,False
CLST,18.1,3.4%,1.8%,1.3%,0.3%,3.3%,4.4%,Financial,Banks - Regional,Small,False,False
HULL,28.06,3.4%,1.8%,0.4%,1.2%,7.7%,3.0%,Financial,Exchange Traded Fund,Small,True,True
CMDT,35.4,3.1%,1.8%,1.1%,0.2%,6.8%,6.7%,Financial,Exchange Traded Fund,Small,False,True
XBTY,5.68,3.0%,0.9%,0.1%,2.0%,3.0%,4.4%,Financial,Exchange Traded Fund,Small,False,True
MAGY,42.85,2.9%,0.8%,1.2%,0.9%,0.9%,2.6%,Financial,Exchange Traded Fund,Small,True,True
SHRT,6.78,2.8%,0.2%,1.7%,1.0%,7.7%,0.7%,Financial,Exchange Traded Fund,Small,False,True
YMAG,11.31,2.7%,1.1%,0.3%,1.2%,1.5%,3.5%,Financial,Exchange Traded Fund,Small,True,True
DBMF,32.23,2.6%,0.1%,1.7%,0.8%,1.0%,1.5%,Financial,Exchange Traded Fund,Small,False,True
IALT,29.69,2.6%,0.6%,1.0%,0.9%,2.2%,1.2%,Financial,Exchange Traded Fund,Small,False,True
LALT,24.9,2.3%,0.9%,0.8%,0.6%,0.6%,1.1%,Financial,Exchange Traded Fund,Small,False,True
STRC,98.51,2.3%,1.0%,0.9%,0.4%,6.6%,9.7%,Technology,Software - Application,Large,True,False
