ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
BWET,132.01,121.6%,58.0%,26.5%,10.9%,56.1%,71.9%,Financial,Exchange Traded Fund,Small,True,True
FBYD,11.28,65.9%,6.3%,33.2%,17.1%,8.5%,117.6%,Industrials,Conglomerates,Small,False,False
LCUT,5.79,52.0%,20.7%,7.2%,17.4%,6.4%,73.4%,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Small,False,True
CDNL,42.17,43.2%,12.2%,9.9%,16.2%,27.9%,23.1%,Industrials,Engineering & Construction,Small,False,False
NSYS,12.92,40.4%,7.6%,19.5%,9.2%,6.9%,28.6%,Healthcare,Medical Devices,Small,False,False
IRDM,32.86,33.0%,2.2%,10.7%,17.5%,20.2%,15.8%,Communication Services,Telecom Services,Mid,False,True
CIEN,447.76,32.7%,13.8%,4.6%,11.5%,38.5%,11.3%,Technology,Communication Equipment,Large,False,True
ETON,24.99,32.0%,17.9%,4.1%,7.5%,13.2%,45.3%,Healthcare,Drug Manufacturers - Specialty & Generic,Small,False,True
DLLL,39.43,28.8%,8.7%,16.4%,1.8%,56.9%,19.3%,Financial,Exchange Traded Fund,Small,True,False
PVH,77.11,26.7%,3.9%,4.9%,16.1%,10.0%,1.7%,Consumer Cyclical,Apparel Manufacturing,Mid,False,False
MRX,43.9,26.0%,1.0%,22.0%,2.2%,10.1%,2.6%,Financial,Capital Markets,Mid,False,False
AGX,575.16,25.5%,3.4%,19.6%,1.5%,30.2%,20.7%,Industrials,Engineering & Construction,Mid,False,True
VIAV,36.89,23.1%,4.9%,10.2%,6.5%,21.5%,12.0%,Technology,Communication Equipment,Mid,False,True
MRVL,107.11,21.9%,0.1%,7.9%,12.9%,3.6%,21.3%,Technology,Semiconductors,Large,False,False
PLAB,40.85,21.8%,8.3%,9.0%,3.2%,8.3%,8.0%,Technology,Semiconductor Equipment & Materials,Mid,False,True
TGTX,33.53,19.9%,7.5%,5.6%,5.6%,2.2%,10.4%,Healthcare,Biotechnology,Mid,False,False
SYRE,47.58,19.3%,3.4%,14.7%,0.6%,34.5%,17.3%,Healthcare,Biotechnology,Mid,False,False
RLMD,6.99,18.3%,2.7%,5.9%,8.7%,28.5%,52.6%,Healthcare,Biotechnology,Small,False,True
COHU,32.14,17.9%,8.3%,1.6%,7.2%,5.8%,1.4%,Technology,Semiconductor Equipment & Materials,Small,False,False
ELPC,12.38,16.4%,5.1%,2.1%,8.5%,14.3%,3.0%,Utilities,Utilities - Diversified,Mid,False,False
VSAT,53.69,16.4%,0.5%,0.4%,15.3%,1.4%,0.0%,Technology,Communication Equipment,Mid,False,True
MTZ,336.25,15.9%,3.6%,5.1%,6.4%,23.9%,8.0%,Industrials,Engineering & Construction,Large,False,True
PLPC,302.55,15.7%,0.6%,4.9%,9.8%,1.2%,6.7%,Industrials,Electrical Equipment & Parts,Small,False,True
OSW,23.48,15.4%,3.1%,6.7%,4.9%,9.6%,6.6%,Consumer Cyclical,Leisure,Mid,False,False
DELL,174.37,15.0%,4.0%,9.0%,1.5%,30.0%,10.8%,Technology,Computer Hardware,Large,False,False
UCTT,63.16,14.9%,4.9%,2.1%,7.3%,38.9%,2.5%,Technology,Semiconductor Equipment & Materials,Mid,False,True
GLRE,17.85,14.4%,2.5%,4.8%,6.5%,2.3%,21.8%,Financial,Insurance - Reinsurance,Small,False,True
ATEN,23.99,14.4%,2.3%,4.1%,7.4%,10.4%,20.4%,Technology,Software - Infrastructure,Small,False,True
MCS,17.86,14.0%,1.3%,4.7%,7.5%,11.5%,2.5%,Communication Services,Entertainment,Small,False,False
ECVT,13.04,13.6%,1.5%,10.2%,1.6%,6.2%,14.1%,Basic Materials,Specialty Chemicals,Small,False,True
CNK,29.24,13.4%,2.5%,6.2%,4.2%,19.3%,1.0%,Communication Services,Entertainment,Mid,False,False
ZYME,25.8,12.8%,1.9%,3.7%,6.7%,3.4%,7.5%,Healthcare,Biotechnology,Small,False,False
BTSG,43.1,12.5%,7.6%,2.7%,1.8%,5.5%,2.8%,Healthcare,Health Information Services,Mid,False,False
NGL,12.58,12.3%,7.1%,0.5%,4.3%,2.1%,2.7%,Energy,Oil & Gas Midstream,Small,False,False
