ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
ZWS,52.47,11,7,0,18,1.66,9.9%,13.5%,12.4%,-0.5%,0.085,0.114,0.45376998,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MRVL,164.31,9,7,0,16,1.49,17.6%,67.0%,104.9%,-0.8%,1.01,0.221,0.51023996,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AMD,347.81,9,7,0,16,1.37,24.9%,57.9%,33.9%,0.0%,0.301,0.341,0.52493,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
DIOD,104.4,8,7,0,15,1.26,10.1%,42.1%,84.9%,0.0%,0.81,0.154,0.31202,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
DLR,200.0,9,6,0,15,1.25,-1.8%,13.4%,26.5%,-1.9%,0.226,0.171,0.55158,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
ABCB,84.89,9,5,1,15,1.23,-0.5%,10.0%,5.8%,-1.0%,0.019,0.03,0.0,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, atr_contracted","earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
ARM,234.81,9,6,0,15,1.93,40.8%,49.5%,102.3%,0.0%,0.984,0.263,0.97495,"within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
IDN,8.05,8,7,0,15,1.2,-5.2%,45.6%,33.9%,-10.5%,0.301,0.118,0.90444,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
PECO,39.46,9,6,0,15,1.03,-0.3%,7.4%,12.7%,-0.3%,0.088,0.086,0.71134,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SYNA,93.86,9,6,0,15,1.32,17.0%,25.2%,9.6%,0.0%,0.058,0.132,0.43132,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MXL,60.32,9,6,0,15,5.19,129.6%,238.9%,227.6%,0.0%,2.238,0.48,0.56841,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
FCFS,219.0,8,7,0,15,1.04,5.9%,15.0%,31.1%,0.0%,0.272,0.257,0.58564997,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KALU,177.86,9,6,0,15,1.74,19.9%,50.4%,39.6%,0.0%,0.357,0.424,0.13559,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
CPRX,27.37,10,5,0,15,1.23,4.2%,15.0%,16.1%,-1.1%,0.122,0.076,0.83028,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
SEIC,88.84,8,7,0,15,1.79,11.3%,15.1%,4.3%,-4.7%,0.004,0.128,0.78296,"base_tight, within_high_75, price_above_ma150, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
TXN,277.14,8,7,0,15,1.85,20.6%,40.8%,44.3%,-1.8%,0.404,0.186,0.57322,"within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MWA,28.17,9,6,0,15,1.42,-3.1%,-0.2%,6.3%,-7.2%,0.024,0.046,0.37012002,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
